Sub-subheading,Subheading,Main Heading,Links,Full Links,Main Heading_translated,Subheading_translated,Sub-subheading_translated
Une opération d'espionnage,Une opération d'espionnage,Théories du complot populaires à l'échelle internationale,"['/wiki/Santé_Canada', '/wiki/Agence_de_la_santé_publique_du_Canada', '/wiki/Gendarmerie_royale_du_Canada', '/wiki/Société_Radio-Canada', '/wiki/Winnipeg', '/wiki/Pékin', ""/wiki/Organisation_du_traité_de_l'Atlantique_nord""]","['https://fr.wikipedia.org/wiki/Santé_Canada', 'https://fr.wikipedia.org/wiki/Agence_de_la_santé_publique_du_Canada', 'https://fr.wikipedia.org/wiki/Gendarmerie_royale_du_Canada', 'https://fr.wikipedia.org/wiki/Société_Radio-Canada', 'https://fr.wikipedia.org/wiki/Winnipeg', 'https://fr.wikipedia.org/wiki/Pékin', ""https://fr.wikipedia.org/wiki/Organisation_du_traité_de_l'Atlantique_nord""]",International popular conspiracy theories,A spy operation,A spy operation
Régime de contrôle de la population,Régime de contrôle de la population,Théories du complot populaires à l'échelle internationale,"['/wiki/Vidéaste_web', '/wiki/Théorie_du_complot', '/wiki/Extrême_droite', '/wiki/QAnon', '/wiki/Controverse_sur_la_vaccination', '/wiki/Microsoft', '/wiki/Bill_Gates']","['https://fr.wikipedia.org/wiki/Vidéaste_web', 'https://fr.wikipedia.org/wiki/Théorie_du_complot', 'https://fr.wikipedia.org/wiki/Extrême_droite', 'https://fr.wikipedia.org/wiki/QAnon', 'https://fr.wikipedia.org/wiki/Controverse_sur_la_vaccination', 'https://fr.wikipedia.org/wiki/Microsoft', 'https://fr.wikipedia.org/wiki/Bill_Gates']",International popular conspiracy theories,Population control regime,Population control regime
Une opération contre les pédophiles,Une opération contre les pédophiles,Théories du complot populaires à l'échelle internationale,"['/wiki/QAnon', '/wiki/Pédophilie', '/wiki/Hillary_Clinton', '/wiki/Tom_Hanks', '/wiki/James_Comey']","['https://fr.wikipedia.org/wiki/QAnon', 'https://fr.wikipedia.org/wiki/Pédophilie', 'https://fr.wikipedia.org/wiki/Hillary_Clinton', 'https://fr.wikipedia.org/wiki/Tom_Hanks', 'https://fr.wikipedia.org/wiki/James_Comey']",International popular conspiracy theories,An operation against pedophiles,An operation against pedophiles
Affirmations que le coronavirus n'est pas nouveau,Affirmations que le coronavirus n'est pas nouveau,Théories du complot populaires à l'échelle internationale,"['/wiki/Lysol_(chimie)', '/wiki/Reckitt_Benckiser', '/wiki/SARS-CoV-2']","['https://fr.wikipedia.org/wiki/Lysol_(chimie)', 'https://fr.wikipedia.org/wiki/Reckitt_Benckiser', 'https://fr.wikipedia.org/wiki/SARS-CoV-2']",International popular conspiracy theories,Affirmations that the coronavirus is not new,Affirmations that the coronavirus is not new
Synthèse du virus en laboratoire,Synthèse du virus en laboratoire,Théories du complot populaires à l'échelle internationale,[],[],International popular conspiracy theories,Laboratory virus synthesis,Laboratory virus synthesis
Publications détournées,Synthèse du virus en laboratoire,Théories du complot populaires à l'échelle internationale,"['/wiki/Nature_Medicine', '/wiki/Institut_Pasteur', '/wiki/Épidémie_de_SRAS_de_2002-2004', '/wiki/Le_Parisien']","['https://fr.wikipedia.org/wiki/Nature_Medicine', 'https://fr.wikipedia.org/wiki/Institut_Pasteur', 'https://fr.wikipedia.org/wiki/Épidémie_de_SRAS_de_2002-2004', 'https://fr.wikipedia.org/wiki/Le_Parisien']",International popular conspiracy theories,Laboratory virus synthesis,Diverted publications
Fabrication sur la base du virus du Sida,Synthèse du virus en laboratoire,Théories du complot populaires à l'échelle internationale,"[""/wiki/Origine_du_virus_de_l'immunodéficience_humaine"", '/wiki/New_Delhi', '/wiki/Acide_aminé', '/wiki/SARS-CoV-2', ""/wiki/Virus_de_l'immunodéficience_humaine"", '/wiki/Luc_Montagnier', ""/wiki/Virus_de_l'immunodéficience_humaine"", '/wiki/Nucléotide', ""/wiki/Virus_de_l'immunodéficience_humaine"", '/wiki/VIH-2', ""/wiki/Virus_de_l'immunodéficience_simienne"", '/wiki/Luc_Montagnier', '/wiki/Luc_Montagnier', '/wiki/Centre_national_de_la_recherche_scientifique', '/wiki/École_normale_supérieure_(Paris)', '/wiki/Institut_de_recherche_pour_le_développement', '/wiki/Lymphocyte', '/wiki/Virémie']","[""https://fr.wikipedia.org/wiki/Origine_du_virus_de_l'immunodéficience_humaine"", 'https://fr.wikipedia.org/wiki/New_Delhi', 'https://fr.wikipedia.org/wiki/Acide_aminé', 'https://fr.wikipedia.org/wiki/SARS-CoV-2', ""https://fr.wikipedia.org/wiki/Virus_de_l'immunodéficience_humaine"", 'https://fr.wikipedia.org/wiki/Luc_Montagnier', ""https://fr.wikipedia.org/wiki/Virus_de_l'immunodéficience_humaine"", 'https://fr.wikipedia.org/wiki/Nucléotide', ""https://fr.wikipedia.org/wiki/Virus_de_l'immunodéficience_humaine"", 'https://fr.wikipedia.org/wiki/VIH-2', ""https://fr.wikipedia.org/wiki/Virus_de_l'immunodéficience_simienne"", 'https://fr.wikipedia.org/wiki/Luc_Montagnier', 'https://fr.wikipedia.org/wiki/Luc_Montagnier', 'https://fr.wikipedia.org/wiki/Centre_national_de_la_recherche_scientifique', 'https://fr.wikipedia.org/wiki/École_normale_supérieure_(Paris)', 'https://fr.wikipedia.org/wiki/Institut_de_recherche_pour_le_développement', 'https://fr.wikipedia.org/wiki/Lymphocyte', 'https://fr.wikipedia.org/wiki/Virémie']",International popular conspiracy theories,Laboratory virus synthesis,Manufacturing on the basis of the AIDS virus
Prédictions de la pandémie,Prédictions de la pandémie,Théories du complot populaires à l'échelle internationale,"['/wiki/Nostradamus', '/wiki/Forum_économique_mondial', '/wiki/Fondation_Bill-et-Melinda-Gates', '/wiki/Université_Johns-Hopkins', '/wiki/Simulation_en_santé', '/wiki/Épidémie_de_SRAS_de_2002-2004', '/wiki/Coronavirus_du_syndrome_respiratoire_du_Moyen-Orient']","['https://fr.wikipedia.org/wiki/Nostradamus', 'https://fr.wikipedia.org/wiki/Forum_économique_mondial', 'https://fr.wikipedia.org/wiki/Fondation_Bill-et-Melinda-Gates', 'https://fr.wikipedia.org/wiki/Université_Johns-Hopkins', 'https://fr.wikipedia.org/wiki/Simulation_en_santé', 'https://fr.wikipedia.org/wiki/Épidémie_de_SRAS_de_2002-2004', 'https://fr.wikipedia.org/wiki/Coronavirus_du_syndrome_respiratoire_du_Moyen-Orient']",International popular conspiracy theories,Pandemic predictions,Pandemic predictions
La dénonciation d'une infirmière,La dénonciation d'une infirmière,Désinformation sur l'étendue de l'épidémie en Chine,"['/wiki/Hubei', '/wiki/British_Broadcasting_Corporation']","['https://fr.wikipedia.org/wiki/Hubei', 'https://fr.wikipedia.org/wiki/British_Broadcasting_Corporation']",Disinformation on the extent of the epidemic in China,The denunciation of a nurse,The denunciation of a nurse
La fuite sur le nombre de morts,La fuite sur le nombre de morts,Désinformation sur l'étendue de l'épidémie en Chine,"['/wiki/Tencent', '/wiki/Facebook', '/wiki/Netizen', '/wiki/Daily_Mail', '/wiki/Twitter', '/wiki/4chan']","['https://fr.wikipedia.org/wiki/Tencent', 'https://fr.wikipedia.org/wiki/Facebook', 'https://fr.wikipedia.org/wiki/Netizen', 'https://fr.wikipedia.org/wiki/Daily_Mail', 'https://fr.wikipedia.org/wiki/Twitter', 'https://fr.wikipedia.org/wiki/4chan']",Disinformation on the extent of the epidemic in China,The flight on the number of deaths,The flight on the number of deaths
Désinformation contre Taïwan,Désinformation contre Taïwan,Désinformation sur l'étendue de l'épidémie en Chine,"['/wiki/Central_News_Agency_(Taïwan)', '/wiki/Tsai_Ing-wen', '/wiki/Chine_continentale', ""/wiki/Bureau_d'investigation_du_ministère_de_la_Justice_(république_de_Chine)"", '/wiki/Bureau_des_affaires_taïwanaises', '/wiki/Parti_démocrate_progressiste_(Taïwan)']","['https://fr.wikipedia.org/wiki/Central_News_Agency_(Taïwan)', 'https://fr.wikipedia.org/wiki/Tsai_Ing-wen', 'https://fr.wikipedia.org/wiki/Chine_continentale', ""https://fr.wikipedia.org/wiki/Bureau_d'investigation_du_ministère_de_la_Justice_(république_de_Chine)"", 'https://fr.wikipedia.org/wiki/Bureau_des_affaires_taïwanaises', 'https://fr.wikipedia.org/wiki/Parti_démocrate_progressiste_(Taïwan)']",Disinformation on the extent of the epidemic in China,Disinformation against Taiwan,Disinformation against Taiwan
Détournement d'une carte du World Population Project,Détournement d'une carte du World Population Project,Désinformation sur l'étendue de l'épidémie en Chine,"['/wiki/Université_de_Southampton', '/wiki/The_Sun', '/wiki/Daily_Mail', '/wiki/Metro_(Associated_Metro_Limited)']","['https://fr.wikipedia.org/wiki/Université_de_Southampton', 'https://fr.wikipedia.org/wiki/The_Sun', 'https://fr.wikipedia.org/wiki/Daily_Mail', 'https://fr.wikipedia.org/wiki/Metro_(Associated_Metro_Limited)']",Disinformation on the extent of the epidemic in China,Hijacking of a World Population Project map,Hijacking of a World Population Project map
Préexistence du vaccin,Préexistence du vaccin,Désinformation médicale,"['/wiki/Vaccin_contre_la_Covid-19', '/wiki/Vaccination', '/wiki/Politifact', '/wiki/FactCheck.org', '/wiki/Média_social', '/wiki/Séquence_(acide_nucléique)', '/wiki/Syndrome_respiratoire_aigu_sévère', '/wiki/Antibiotique', '/wiki/Homéopathie', '/wiki/Vaccin_bilié_de_Calmette_et_Guérin', '/wiki/Tuberculose', '/wiki/Fondation_Bill-et-Melinda-Gates', '/wiki/Didier_Raoult', '/wiki/Vaccin_contre_la_Covid-19', '/wiki/Pfizer']","['https://fr.wikipedia.org/wiki/Vaccin_contre_la_Covid-19', 'https://fr.wikipedia.org/wiki/Vaccination', 'https://fr.wikipedia.org/wiki/Politifact', 'https://fr.wikipedia.org/wiki/FactCheck.org', 'https://fr.wikipedia.org/wiki/Média_social', 'https://fr.wikipedia.org/wiki/Séquence_(acide_nucléique)', 'https://fr.wikipedia.org/wiki/Syndrome_respiratoire_aigu_sévère', 'https://fr.wikipedia.org/wiki/Antibiotique', 'https://fr.wikipedia.org/wiki/Homéopathie', 'https://fr.wikipedia.org/wiki/Vaccin_bilié_de_Calmette_et_Guérin', 'https://fr.wikipedia.org/wiki/Tuberculose', 'https://fr.wikipedia.org/wiki/Fondation_Bill-et-Melinda-Gates', 'https://fr.wikipedia.org/wiki/Didier_Raoult', 'https://fr.wikipedia.org/wiki/Vaccin_contre_la_Covid-19', 'https://fr.wikipedia.org/wiki/Pfizer']",Medical disinformation,Vaccine preexistence,Vaccine preexistence
Effet curatif de la cocaïne,Effet curatif de la cocaïne,Désinformation médicale,"['/wiki/Cocaïne', '/wiki/Europe', '/wiki/Afrique', '/wiki/Ministère_des_Affaires_sociales_et_de_la_Santé_(France)', '/wiki/Organisation_mondiale_de_la_santé']","['https://fr.wikipedia.org/wiki/Cocaïne', 'https://fr.wikipedia.org/wiki/Europe', 'https://fr.wikipedia.org/wiki/Afrique', 'https://fr.wikipedia.org/wiki/Ministère_des_Affaires_sociales_et_de_la_Santé_(France)', 'https://fr.wikipedia.org/wiki/Organisation_mondiale_de_la_santé']",Medical disinformation,Curative effect of cocaine,Curative effect of cocaine
