Sub-subheading,Subheading,Main Heading,Links,Full Links,Main Heading_translated,Subheading_translated,Sub-subheading_translated,English Full Links,English Relative Links
العالم العربي,سلاح بيولوجي أمريكي,صناعة بشرية/نظريات المؤامرة,"['/wiki/معهد_بحوث_إعلام_الشرق_الأوسط', '/wiki/واشنطن_العاصمة', '/wiki/الوطن_(جريدة_سعودية)', '/wiki/صحيفة_الثورة_(توضيح)']","['https://ar.wikipedia.org/wiki/معهد_بحوث_إعلام_الشرق_الأوسط', 'https://ar.wikipedia.org/wiki/واشنطن_العاصمة', 'https://ar.wikipedia.org/wiki/الوطن_(جريدة_سعودية)', 'https://ar.wikipedia.org/wiki/صحيفة_الثورة_(توضيح)']",Human industry/conspiracy theories,American biological weapon,Arab world,"['https://en.wikipedia.org/wiki/Middle_East_Media_Research_Institute', 'https://en.wikipedia.org/wiki/Washington%2C_D.C.', 'https://en.wikipedia.org/wiki/Al_Watan_%28Saudi_Arabia%29', 'https://ar.wikipedia.org/wiki/صحيفة_الثورة_(توضيح)']","['/wiki/Middle_East_Media_Research_Institute', '/wiki/Washington%2C_D.C.', '/wiki/Al_Watan_%28Saudi_Arabia%29', 'https://ar.wikipedia.org/wiki/صحيفة_الثورة_(توضيح)']"
الفلبين,سلاح بيولوجي أمريكي,صناعة بشرية/نظريات المؤامرة,[],[],Human industry/conspiracy theories,American biological weapon,The Philippines,[],[]
فنزويلا,سلاح بيولوجي أمريكي,صناعة بشرية/نظريات المؤامرة,"['/wiki/فيروس_كورونا', '/wiki/اللغة_الإسبانية', '/wiki/أمريكا_اللاتينية', '/wiki/الصين', '/wiki/زنجبيل', '/wiki/فلفل_أسود']","['https://ar.wikipedia.org/wiki/فيروس_كورونا', 'https://ar.wikipedia.org/wiki/اللغة_الإسبانية', 'https://ar.wikipedia.org/wiki/أمريكا_اللاتينية', 'https://ar.wikipedia.org/wiki/الصين', 'https://ar.wikipedia.org/wiki/زنجبيل', 'https://ar.wikipedia.org/wiki/فلفل_أسود']",Human industry/conspiracy theories,American biological weapon,Venezuela,"['https://en.wikipedia.org/wiki/Coronavirus', 'https://en.wikipedia.org/wiki/Spanish_language', 'https://en.wikipedia.org/wiki/Latin_America', 'https://en.wikipedia.org/wiki/China', 'https://en.wikipedia.org/wiki/Ginger', 'https://en.wikipedia.org/wiki/Black_pepper']","['/wiki/Coronavirus', '/wiki/Spanish_language', '/wiki/Latin_America', '/wiki/China', '/wiki/Ginger', '/wiki/Black_pepper']"
المؤامرات المعادية للسامية,المؤامرات المعادية للسامية,صناعة بشرية/نظريات المؤامرة,"['/wiki/صهيونية', '/wiki/يهود', '/wiki/حمى_القرم']","['https://ar.wikipedia.org/wiki/صهيونية', 'https://ar.wikipedia.org/wiki/يهود', 'https://ar.wikipedia.org/wiki/حمى_القرم']",Human industry/conspiracy theories,Anti -Semitic plots,Anti -Semitic plots,"['https://en.wikipedia.org/wiki/Zionism', 'https://en.wikipedia.org/wiki/Jews', 'https://en.wikipedia.org/wiki/Crimean%E2%80%93Congo_hemorrhagic_fever']","['/wiki/Zionism', '/wiki/Jews', '/wiki/Crimean%E2%80%93Congo_hemorrhagic_fever']"
عملية تجسس,عملية تجسس,صناعة بشرية/نظريات المؤامرة,['/wiki/هيئة_الإذاعة_الكندية'],['https://ar.wikipedia.org/wiki/هيئة_الإذاعة_الكندية'],Human industry/conspiracy theories,Spying,Spying,['https://en.wikipedia.org/wiki/Canadian_Broadcasting_Corporation'],['/wiki/Canadian_Broadcasting_Corporation']
مخطط لتحديد أعداد السكان,مخطط لتحديد أعداد السكان,صناعة بشرية/نظريات المؤامرة,"['/wiki/بي_بي_سي', '/wiki/يوتيوب', '/wiki/كيو_أنون', '/wiki/الجدل_حول_استخدام_اللقاح', '/wiki/مايكروسوفت', '/wiki/بيل_غيتس']","['https://ar.wikipedia.org/wiki/بي_بي_سي', 'https://ar.wikipedia.org/wiki/يوتيوب', 'https://ar.wikipedia.org/wiki/كيو_أنون', 'https://ar.wikipedia.org/wiki/الجدل_حول_استخدام_اللقاح', 'https://ar.wikipedia.org/wiki/مايكروسوفت', 'https://ar.wikipedia.org/wiki/بيل_غيتس']",Human industry/conspiracy theories,A scheme to determine the population numbers,A scheme to determine the population numbers,"['https://en.wikipedia.org/wiki/BBC', 'https://en.wikipedia.org/wiki/YouTube', 'https://en.wikipedia.org/wiki/QAnon', 'https://en.wikipedia.org/wiki/Vaccine_hesitancy', 'https://en.wikipedia.org/wiki/Microsoft', 'https://en.wikipedia.org/wiki/Bill_Gates']","['/wiki/BBC', '/wiki/YouTube', '/wiki/QAnon', '/wiki/Vaccine_hesitancy', '/wiki/Microsoft', '/wiki/Bill_Gates']"
سام هايد,سام هايد,صناعة بشرية/نظريات المؤامرة,['/wiki/فيسبوك'],['https://ar.wikipedia.org/wiki/فيسبوك'],Human industry/conspiracy theories,Sam Hyde,Sam Hyde,['https://en.wikipedia.org/wiki/Facebook'],['/wiki/Facebook']
الممرضة الصينية,الممرضة الصينية,حجم الوباء,"['/wiki/خوبي', '/wiki/طفرة_(أحياء)']","['https://ar.wikipedia.org/wiki/خوبي', 'https://ar.wikipedia.org/wiki/طفرة_(أحياء)']",The size of the epidemic,Chinese nurse,Chinese nurse,"['https://en.wikipedia.org/wiki/Hubei', 'https://en.wikipedia.org/wiki/Mutation']","['/wiki/Hubei', '/wiki/Mutation']"
تسريب كاذب لحصيلة الضحايا,تسريب كاذب لحصيلة الضحايا,حجم الوباء,['/wiki/فيسبوك'],['https://ar.wikipedia.org/wiki/فيسبوك'],The size of the epidemic,A false leak for the victims' outcome,A false leak for the victims' outcome,['https://en.wikipedia.org/wiki/Facebook'],['/wiki/Facebook']
معلومات مغلوطة ضد تايوان,معلومات مغلوطة ضد تايوان,حجم الوباء,"['/wiki/فيسبوك', '/wiki/الحزب_الشيوعي_الصيني']","['https://ar.wikipedia.org/wiki/فيسبوك', 'https://ar.wikipedia.org/wiki/الحزب_الشيوعي_الصيني']",The size of the epidemic,Informed information against Taiwan,Informed information against Taiwan,"['https://en.wikipedia.org/wiki/Facebook', 'https://en.wikipedia.org/wiki/Chinese_Communist_Party']","['/wiki/Facebook', '/wiki/Chinese_Communist_Party']"
خريطة مشروع السكان العالمي الكاذبة,خريطة مشروع السكان العالمي الكاذبة,حجم الوباء,"['/wiki/جامعة_ساوثهامبتون', '/wiki/وسائل_تواصل_اجتماعي']","['https://ar.wikipedia.org/wiki/جامعة_ساوثهامبتون', 'https://ar.wikipedia.org/wiki/وسائل_تواصل_اجتماعي']",The size of the epidemic,Map of the false global population project,Map of the false global population project,"['https://en.wikipedia.org/wiki/University_of_Southampton', 'https://en.wikipedia.org/wiki/Social_media']","['/wiki/University_of_Southampton', '/wiki/Social_media']"
وجود اللقاح مسبقًا,وجود اللقاح مسبقًا,معلومات طبية خاطئة,"['/wiki/فيروس_(توضيح)', '/wiki/مضاد_حيوي']","['https://ar.wikipedia.org/wiki/فيروس_(توضيح)', 'https://ar.wikipedia.org/wiki/مضاد_حيوي']",Wrong medical information,The presence of the vaccine in advance,The presence of the vaccine in advance,"['https://en.wikipedia.org/wiki/Virus_%28disambiguation%29', 'https://en.wikipedia.org/wiki/Antibiotic']","['/wiki/Virus_%28disambiguation%29', '/wiki/Antibiotic']"
علاج الكوكايين,علاج الكوكايين,معلومات طبية خاطئة,"['/wiki/كوكايين', '/wiki/أوروبا']","['https://ar.wikipedia.org/wiki/كوكايين', 'https://ar.wikipedia.org/wiki/أوروبا']",Wrong medical information,Cocaine treatment,Cocaine treatment,"['https://en.wikipedia.org/wiki/Cocaine', 'https://en.wikipedia.org/wiki/Europe']","['/wiki/Cocaine', '/wiki/Europe']"
المناعة الأفريقية,المناعة الأفريقية,معلومات طبية خاطئة,"['/wiki/فيسبوك', '/wiki/فيروس_(توضيح)']","['https://ar.wikipedia.org/wiki/فيسبوك', 'https://ar.wikipedia.org/wiki/فيروس_(توضيح)']",Wrong medical information,African immunity,African immunity,"['https://en.wikipedia.org/wiki/Facebook', 'https://en.wikipedia.org/wiki/Virus_%28disambiguation%29']","['/wiki/Facebook', '/wiki/Virus_%28disambiguation%29']"
الجيل الخامس لشبكات الهاتف المحمول (5G),الجيل الخامس لشبكات الهاتف المحمول (5G),معلومات طبية خاطئة,"['/wiki/فيروس_كورونا', '/wiki/جائحة_فيروس_كورونا_على_سفينة_أميرة_الألماس_2020', '/wiki/كهرومغناطيسية', '/wiki/إفريقيا']","['https://ar.wikipedia.org/wiki/فيروس_كورونا', 'https://ar.wikipedia.org/wiki/جائحة_فيروس_كورونا_على_سفينة_أميرة_الألماس_2020', 'https://ar.wikipedia.org/wiki/كهرومغناطيسية', 'https://ar.wikipedia.org/wiki/إفريقيا']",Wrong medical information,The fifth generation of mobile networks (5G),The fifth generation of mobile networks (5G),"['https://en.wikipedia.org/wiki/Coronavirus', 'https://en.wikipedia.org/wiki/COVID-19_pandemic_on_Diamond_Princess', 'https://en.wikipedia.org/wiki/Electromagnetism', 'https://en.wikipedia.org/wiki/Africa']","['/wiki/Coronavirus', '/wiki/COVID-19_pandemic_on_Diamond_Princess', '/wiki/Electromagnetism', '/wiki/Africa']"
المعلومات المغلوطة حسب البلد,المعلومات المغلوطة حسب البلد,معلومات طبية خاطئة,[],[],Wrong medical information,Mble information by the country,Mble information by the country,[],[]
البرازيل,المعلومات المغلوطة حسب البلد,معلومات طبية خاطئة,"['/wiki/فيروس_كورونا', '/wiki/البرازيل']","['https://ar.wikipedia.org/wiki/فيروس_كورونا', 'https://ar.wikipedia.org/wiki/البرازيل']",Wrong medical information,Mble information by the country,Brazil,"['https://en.wikipedia.org/wiki/Coronavirus', 'https://en.wikipedia.org/wiki/Brazil']","['/wiki/Coronavirus', '/wiki/Brazil']"
الصين,المعلومات المغلوطة حسب البلد,معلومات طبية خاطئة,['/wiki/طب_تقليدي'],['https://ar.wikipedia.org/wiki/طب_تقليدي'],Wrong medical information,Mble information by the country,China,['https://en.wikipedia.org/wiki/Traditional_medicine'],['/wiki/Traditional_medicine']
إستونيا,المعلومات المغلوطة حسب البلد,معلومات طبية خاطئة,"['/wiki/زكام', '/wiki/فيروس_كورونا']","['https://ar.wikipedia.org/wiki/زكام', 'https://ar.wikipedia.org/wiki/فيروس_كورونا']",Wrong medical information,Mble information by the country,Estonia,"['https://en.wikipedia.org/wiki/Common_cold', 'https://en.wikipedia.org/wiki/Coronavirus']","['/wiki/Common_cold', '/wiki/Coronavirus']"
اليونان,المعلومات المغلوطة حسب البلد,معلومات طبية خاطئة,['/wiki/يسوع'],['https://ar.wikipedia.org/wiki/يسوع'],Wrong medical information,Mble information by the country,Greece,['https://en.wikipedia.org/wiki/Jesus'],['/wiki/Jesus']
الهند,المعلومات المغلوطة حسب البلد,معلومات طبية خاطئة,['/wiki/حزب_بهاراتيا_جاناتا'],['https://ar.wikipedia.org/wiki/حزب_بهاراتيا_جاناتا'],Wrong medical information,Mble information by the country,India,['https://en.wikipedia.org/wiki/Bharatiya_Janata_Party'],['/wiki/Bharatiya_Janata_Party']
نيجيريا,المعلومات المغلوطة حسب البلد,معلومات طبية خاطئة,['/wiki/واتساب'],['https://ar.wikipedia.org/wiki/واتساب'],Wrong medical information,Mble information by the country,Nigeria,['https://en.wikipedia.org/wiki/WhatsApp'],['/wiki/WhatsApp']
كوريا الجنوبية,المعلومات المغلوطة حسب البلد,معلومات طبية خاطئة,['/wiki/فيروس_(توضيح)'],['https://ar.wikipedia.org/wiki/فيروس_(توضيح)'],Wrong medical information,Mble information by the country,South Korea,['https://en.wikipedia.org/wiki/Virus_%28disambiguation%29'],['/wiki/Virus_%28disambiguation%29']
الولايات المتحدة الأمريكية,المعلومات المغلوطة حسب البلد,معلومات طبية خاطئة,[],[],Wrong medical information,Mble information by the country,United States of America,[],[]
فنزويلا,المعلومات المغلوطة حسب البلد,معلومات طبية خاطئة,"['/wiki/زنجبيل', '/wiki/فلفل_أسود']","['https://ar.wikipedia.org/wiki/زنجبيل', 'https://ar.wikipedia.org/wiki/فلفل_أسود']",Wrong medical information,Mble information by the country,Venezuela,"['https://en.wikipedia.org/wiki/Ginger', 'https://en.wikipedia.org/wiki/Black_pepper']","['/wiki/Ginger', '/wiki/Black_pepper']"
الصين,الصين,معلومات مغلوطة من جانب الحكومات,[],[],Informed information by governments,China,China,[],[]
فيما يتعلق بسوء تعامل الحكومة مع الأزمة,الصين,معلومات مغلوطة من جانب الحكومات,"['/wiki/صينيون', '/wiki/ووهان', '/wiki/الحزب_الشيوعي_الصيني']","['https://ar.wikipedia.org/wiki/صينيون', 'https://ar.wikipedia.org/wiki/ووهان', 'https://ar.wikipedia.org/wiki/الحزب_الشيوعي_الصيني']",Informed information by governments,China,Regarding the government's misuse of the crisis,"['https://en.wikipedia.org/wiki/Chinese_people', 'https://en.wikipedia.org/wiki/Wuhan', 'https://en.wikipedia.org/wiki/Chinese_Communist_Party']","['/wiki/Chinese_people', '/wiki/Wuhan', '/wiki/Chinese_Communist_Party']"
فيما يتعلق بمنشأ الفيروس,الصين,معلومات مغلوطة من جانب الحكومات,"['/wiki/فيروس_كورونا', '/wiki/2020', '/wiki/واشنطن_بوست', '/wiki/مؤامرة_جنائية', '/wiki/وزارة_الخارجية_(الولايات_المتحدة)', '/wiki/جامعة_شيكاغو', '/wiki/أزمة', '/wiki/الصين', '/wiki/جنوب_إفريقيا', '/wiki/وزارة_الخارجية_(الولايات_المتحدة)']","['https://ar.wikipedia.org/wiki/فيروس_كورونا', 'https://ar.wikipedia.org/wiki/2020', 'https://ar.wikipedia.org/wiki/واشنطن_بوست', 'https://ar.wikipedia.org/wiki/مؤامرة_جنائية', 'https://ar.wikipedia.org/wiki/وزارة_الخارجية_(الولايات_المتحدة)', 'https://ar.wikipedia.org/wiki/جامعة_شيكاغو', 'https://ar.wikipedia.org/wiki/أزمة', 'https://ar.wikipedia.org/wiki/الصين', 'https://ar.wikipedia.org/wiki/جنوب_إفريقيا', 'https://ar.wikipedia.org/wiki/وزارة_الخارجية_(الولايات_المتحدة)']",Informed information by governments,China,With regard to the origin of the virus,"['https://en.wikipedia.org/wiki/Coronavirus', 'https://en.wikipedia.org/wiki/2020', 'https://en.wikipedia.org/wiki/The_Washington_Post', 'https://en.wikipedia.org/wiki/Criminal_conspiracy', 'https://en.wikipedia.org/wiki/United_States_Department_of_State', 'https://en.wikipedia.org/wiki/University_of_Chicago', 'https://en.wikipedia.org/wiki/Crisis', 'https://en.wikipedia.org/wiki/China', 'https://en.wikipedia.org/wiki/South_Africa', 'https://en.wikipedia.org/wiki/United_States_Department_of_State']","['/wiki/Coronavirus', '/wiki/2020', '/wiki/The_Washington_Post', '/wiki/Criminal_conspiracy', '/wiki/United_States_Department_of_State', '/wiki/University_of_Chicago', '/wiki/Crisis', '/wiki/China', '/wiki/South_Africa', '/wiki/United_States_Department_of_State']"
الولايات المتحدة,الولايات المتحدة,معلومات مغلوطة من جانب الحكومات,"['/wiki/فيروس_كورونا', '/wiki/دونالد_ترامب', '/wiki/مجلس_الشيوخ', '/wiki/منظمة_الصحة_العالمية', '/wiki/إنترنت']","['https://ar.wikipedia.org/wiki/فيروس_كورونا', 'https://ar.wikipedia.org/wiki/دونالد_ترامب', 'https://ar.wikipedia.org/wiki/مجلس_الشيوخ', 'https://ar.wikipedia.org/wiki/منظمة_الصحة_العالمية', 'https://ar.wikipedia.org/wiki/إنترنت']",Informed information by governments,United State,United State,"['https://en.wikipedia.org/wiki/Coronavirus', 'https://en.wikipedia.org/wiki/Donald_Trump', 'https://en.wikipedia.org/wiki/Senate', 'https://en.wikipedia.org/wiki/World_Health_Organization', 'https://en.wikipedia.org/wiki/Internet']","['/wiki/Coronavirus', '/wiki/Donald_Trump', '/wiki/Senate', '/wiki/World_Health_Organization', '/wiki/Internet']"
أكل الخفافيش,أكل الخفافيش,النظام الغذائي,['/wiki/صينية_(توضيح)'],['https://ar.wikipedia.org/wiki/صينية_(توضيح)'],Diet,Breaks eaten,Breaks eaten,['https://ar.wikipedia.org/wiki/صينية_(توضيح)'],['https://ar.wikipedia.org/wiki/صينية_(توضيح)']
مناعة نباتية,مناعة نباتية,النظام الغذائي,['/wiki/خدمة_شبكة_اجتماعية'],['https://ar.wikipedia.org/wiki/خدمة_شبكة_اجتماعية'],Diet,Vegetation,Vegetation,['https://en.wikipedia.org/wiki/Social_networking_service'],['/wiki/Social_networking_service']
