Sub-subheading,Subheading,Main Heading,Links,Full Links,Main Heading_translated,Subheading_translated,Sub-subheading_translated
False profezie,Materiale contraffatto o decontestualizzato,Notizie false,"['/wiki/Coronavirus', '/wiki/Virus_(biologia)', '/wiki/Murale', '/wiki/Denver', '/wiki/Facebook', '/wiki/Foglietto_illustrativo', '/wiki/WhatsApp', '/wiki/WhatsApp', '/wiki/Asfalto']","['https://it.wikipedia.org/wiki/Coronavirus', 'https://it.wikipedia.org/wiki/Virus_(biologia)', 'https://it.wikipedia.org/wiki/Murale', 'https://it.wikipedia.org/wiki/Denver', 'https://it.wikipedia.org/wiki/Facebook', 'https://it.wikipedia.org/wiki/Foglietto_illustrativo', 'https://it.wikipedia.org/wiki/WhatsApp', 'https://it.wikipedia.org/wiki/WhatsApp', 'https://it.wikipedia.org/wiki/Asfalto']",Fake news,Counterfeit or decontextualized material,False Profezie
Rapporto tra tamponi e positivi al virus,Rapporto tra tamponi e positivi al virus,Disinformazione sanitaria,[],[],Health disinformation,Relationship between swabs and positives to the virus,Relationship between swabs and positives to the virus
Trasmissione del SARS-CoV-2,Trasmissione del SARS-CoV-2,Disinformazione sanitaria,['/wiki/Immigrazione'],['https://it.wikipedia.org/wiki/Immigrazione'],Health disinformation,Transmission of the Sars-Cov-2,Transmission of the Sars-Cov-2
Animali portatori del virus,Trasmissione del SARS-CoV-2,Disinformazione sanitaria,"['/wiki/Culicidae', '/wiki/Chiroptera', '/wiki/Istituto_superiore_per_la_protezione_e_la_ricerca_ambientale', '/wiki/Londra', '/wiki/Università_della_California', '/wiki/Primates', '/wiki/Istituto_superiore_di_sanità', '/wiki/Mustela_putorius_furo', '/wiki/Paesi_Bassi', '/wiki/Mustela_lutreola', '/wiki/Danimarca', '/wiki/India', '/wiki/Vegetarianismo', '/wiki/Twitter', '/wiki/Twitter', '/wiki/Gallus_gallus_domesticus']","['https://it.wikipedia.org/wiki/Culicidae', 'https://it.wikipedia.org/wiki/Chiroptera', 'https://it.wikipedia.org/wiki/Istituto_superiore_per_la_protezione_e_la_ricerca_ambientale', 'https://it.wikipedia.org/wiki/Londra', 'https://it.wikipedia.org/wiki/Università_della_California', 'https://it.wikipedia.org/wiki/Primates', 'https://it.wikipedia.org/wiki/Istituto_superiore_di_sanità', 'https://it.wikipedia.org/wiki/Mustela_putorius_furo', 'https://it.wikipedia.org/wiki/Paesi_Bassi', 'https://it.wikipedia.org/wiki/Mustela_lutreola', 'https://it.wikipedia.org/wiki/Danimarca', 'https://it.wikipedia.org/wiki/India', 'https://it.wikipedia.org/wiki/Vegetarianismo', 'https://it.wikipedia.org/wiki/Twitter', 'https://it.wikipedia.org/wiki/Twitter', 'https://it.wikipedia.org/wiki/Gallus_gallus_domesticus']",Health disinformation,Transmission of the Sars-Cov-2,Animals of the virus
Trasmissione tramite alimenti,Trasmissione del SARS-CoV-2,Disinformazione sanitaria,['/wiki/Acqua'],['https://it.wikipedia.org/wiki/Acqua'],Health disinformation,Transmission of the Sars-Cov-2,Transmission through food
Aria condizionata,Trasmissione del SARS-CoV-2,Disinformazione sanitaria,[],[],Health disinformation,Transmission of the Sars-Cov-2,Air conditioning
Rapporti sessuali,Trasmissione del SARS-CoV-2,Disinformazione sanitaria,['/wiki/Federazione_nazionale_degli_ordini_dei_medici_chirurghi_e_degli_odontoiatri'],['https://it.wikipedia.org/wiki/Federazione_nazionale_degli_ordini_dei_medici_chirurghi_e_degli_odontoiatri'],Health disinformation,Transmission of the Sars-Cov-2,Sexual intercourse
Prevenzione dell'infezione,Prevenzione dell'infezione,Disinformazione sanitaria,"['/wiki/Asintomatico', '/wiki/Malattia', '/wiki/Vitamina_C', '/wiki/Vitamina_D', '/wiki/Lattoferrina', '/wiki/Consenso_scientifico', '/wiki/Disinfettante_per_mani', '/wiki/Antimicrobico', '/wiki/Vaccino', '/wiki/Donald_Trump', ""/wiki/Stati_Uniti_d'America"", '/wiki/Task-force', '/wiki/New_York', '/wiki/Candeggina', '/wiki/Disinfettante', '/wiki/Ipoclorito_di_sodio', ""/wiki/Istituto_dell'autodisciplina_pubblicitaria"", '/wiki/Ozono', '/wiki/Vapore_acqueo', '/wiki/Radiazione_ultravioletta', '/wiki/Italia_meridionale', '/wiki/Italia_settentrionale', '/wiki/The_Lancet', '/wiki/Dichiarazione_di_Great_Barrington', '/wiki/Great_Barrington', '/wiki/Misure_di_confinamento_nel_mondo_dovute_alla_pandemia_di_COVID-19_del_2019-2020', '/wiki/Immunità_di_gregge', '/wiki/Persea_americana', '/wiki/Banana', '/wiki/India', '/wiki/Brassica_oleracea_var._gemmifera', '/wiki/TikTok', '/wiki/Datura', '/wiki/Curry', '/wiki/Tocilizumab', '/wiki/Collutorio', ""/wiki/Stati_Uniti_d'America""]","['https://it.wikipedia.org/wiki/Asintomatico', 'https://it.wikipedia.org/wiki/Malattia', 'https://it.wikipedia.org/wiki/Vitamina_C', 'https://it.wikipedia.org/wiki/Vitamina_D', 'https://it.wikipedia.org/wiki/Lattoferrina', 'https://it.wikipedia.org/wiki/Consenso_scientifico', 'https://it.wikipedia.org/wiki/Disinfettante_per_mani', 'https://it.wikipedia.org/wiki/Antimicrobico', 'https://it.wikipedia.org/wiki/Vaccino', 'https://it.wikipedia.org/wiki/Donald_Trump', ""https://it.wikipedia.org/wiki/Stati_Uniti_d'America"", 'https://it.wikipedia.org/wiki/Task-force', 'https://it.wikipedia.org/wiki/New_York', 'https://it.wikipedia.org/wiki/Candeggina', 'https://it.wikipedia.org/wiki/Disinfettante', 'https://it.wikipedia.org/wiki/Ipoclorito_di_sodio', ""https://it.wikipedia.org/wiki/Istituto_dell'autodisciplina_pubblicitaria"", 'https://it.wikipedia.org/wiki/Ozono', 'https://it.wikipedia.org/wiki/Vapore_acqueo', 'https://it.wikipedia.org/wiki/Radiazione_ultravioletta', 'https://it.wikipedia.org/wiki/Italia_meridionale', 'https://it.wikipedia.org/wiki/Italia_settentrionale', 'https://it.wikipedia.org/wiki/The_Lancet', 'https://it.wikipedia.org/wiki/Dichiarazione_di_Great_Barrington', 'https://it.wikipedia.org/wiki/Great_Barrington', 'https://it.wikipedia.org/wiki/Misure_di_confinamento_nel_mondo_dovute_alla_pandemia_di_COVID-19_del_2019-2020', 'https://it.wikipedia.org/wiki/Immunità_di_gregge', 'https://it.wikipedia.org/wiki/Persea_americana', 'https://it.wikipedia.org/wiki/Banana', 'https://it.wikipedia.org/wiki/India', 'https://it.wikipedia.org/wiki/Brassica_oleracea_var._gemmifera', 'https://it.wikipedia.org/wiki/TikTok', 'https://it.wikipedia.org/wiki/Datura', 'https://it.wikipedia.org/wiki/Curry', 'https://it.wikipedia.org/wiki/Tocilizumab', 'https://it.wikipedia.org/wiki/Collutorio', ""https://it.wikipedia.org/wiki/Stati_Uniti_d'America""]",Health disinformation,Prevention of infection,Prevention of infection
Alcol e fumo,Prevenzione dell'infezione,Disinformazione sanitaria,[],[],Health disinformation,Prevention of infection,Alcohol and smoke
Vaccini,Prevenzione dell'infezione,Disinformazione sanitaria,"['/wiki/Tubercolosi', '/wiki/Vaccino_antinfluenzale', '/wiki/Camerun', '/wiki/Vaccino_antipoliomielite', '/wiki/Poliomielite']","['https://it.wikipedia.org/wiki/Tubercolosi', 'https://it.wikipedia.org/wiki/Vaccino_antinfluenzale', 'https://it.wikipedia.org/wiki/Camerun', 'https://it.wikipedia.org/wiki/Vaccino_antipoliomielite', 'https://it.wikipedia.org/wiki/Poliomielite']",Health disinformation,Prevention of infection,Vaccines
Diagnosi della COVID-19,Diagnosi della COVID-19,Disinformazione sanitaria,"['/wiki/Kary_Mullis', '/wiki/Termometro_a_infrarossi', '/wiki/Ghiandola_pineale', '/wiki/Coca-Cola', '/wiki/Kiwi_(frutto)', '/wiki/HIV', '/wiki/Glucosio']","['https://it.wikipedia.org/wiki/Kary_Mullis', 'https://it.wikipedia.org/wiki/Termometro_a_infrarossi', 'https://it.wikipedia.org/wiki/Ghiandola_pineale', 'https://it.wikipedia.org/wiki/Coca-Cola', 'https://it.wikipedia.org/wiki/Kiwi_(frutto)', 'https://it.wikipedia.org/wiki/HIV', 'https://it.wikipedia.org/wiki/Glucosio']",Health disinformation,Covid-19 diagnosis,Covid-19 diagnosis
Terapie per la COVID-19,Terapie per la COVID-19,Disinformazione sanitaria,"['/wiki/Ibuprofene', '/wiki/Tweet', '/wiki/Ministero_della_solidarietà_e_della_salute', '/wiki/Organizzazione_mondiale_della_sanità', '/wiki/Agenzia_europea_per_i_medicinali', '/wiki/ACE-inibitori', '/wiki/Umifenovir', '/wiki/Russia', '/wiki/Favipiravir', '/wiki/Paracetamolo', '/wiki/Antibiotico', '/wiki/Off-label', '/wiki/Remdesivir', '/wiki/Idrossiclorochina', '/wiki/Lopinavir/ritonavir', '/wiki/Interferone', '/wiki/E-commerce', '/wiki/Cosenza', '/wiki/Quercetina_2,3-diossigenasi', '/wiki/Temple_University', '/wiki/Facebook', '/wiki/Lattoferrina', '/wiki/Amitabh_Bachchan', '/wiki/Potenziamento_anticorpo-dipendente', '/wiki/Sistema_immunitario', '/wiki/Medicina_tradizionale_cinese', '/wiki/Nigeria', '/wiki/Cenere_vulcanica', '/wiki/Monte_Taal', '/wiki/Filippine', '/wiki/Cannabis', '/wiki/YouTube', '/wiki/Sri_Lanka', '/wiki/Fox_News_Channel', '/wiki/Brasile', '/wiki/Cloroformio', '/wiki/Metanolo', '/wiki/Betel_(pianta)', '/wiki/Diclorometano', '/wiki/Andrographis_paniculata', '/wiki/Filippine', '/wiki/Antibiotico', '/wiki/Collirio', '/wiki/Scabbia', '/wiki/Bacteria']","['https://it.wikipedia.org/wiki/Ibuprofene', 'https://it.wikipedia.org/wiki/Tweet', 'https://it.wikipedia.org/wiki/Ministero_della_solidarietà_e_della_salute', 'https://it.wikipedia.org/wiki/Organizzazione_mondiale_della_sanità', 'https://it.wikipedia.org/wiki/Agenzia_europea_per_i_medicinali', 'https://it.wikipedia.org/wiki/ACE-inibitori', 'https://it.wikipedia.org/wiki/Umifenovir', 'https://it.wikipedia.org/wiki/Russia', 'https://it.wikipedia.org/wiki/Favipiravir', 'https://it.wikipedia.org/wiki/Paracetamolo', 'https://it.wikipedia.org/wiki/Antibiotico', 'https://it.wikipedia.org/wiki/Off-label', 'https://it.wikipedia.org/wiki/Remdesivir', 'https://it.wikipedia.org/wiki/Idrossiclorochina', 'https://it.wikipedia.org/wiki/Lopinavir/ritonavir', 'https://it.wikipedia.org/wiki/Interferone', 'https://it.wikipedia.org/wiki/E-commerce', 'https://it.wikipedia.org/wiki/Cosenza', 'https://it.wikipedia.org/wiki/Quercetina_2,3-diossigenasi', 'https://it.wikipedia.org/wiki/Temple_University', 'https://it.wikipedia.org/wiki/Facebook', 'https://it.wikipedia.org/wiki/Lattoferrina', 'https://it.wikipedia.org/wiki/Amitabh_Bachchan', 'https://it.wikipedia.org/wiki/Potenziamento_anticorpo-dipendente', 'https://it.wikipedia.org/wiki/Sistema_immunitario', 'https://it.wikipedia.org/wiki/Medicina_tradizionale_cinese', 'https://it.wikipedia.org/wiki/Nigeria', 'https://it.wikipedia.org/wiki/Cenere_vulcanica', 'https://it.wikipedia.org/wiki/Monte_Taal', 'https://it.wikipedia.org/wiki/Filippine', 'https://it.wikipedia.org/wiki/Cannabis', 'https://it.wikipedia.org/wiki/YouTube', 'https://it.wikipedia.org/wiki/Sri_Lanka', 'https://it.wikipedia.org/wiki/Fox_News_Channel', 'https://it.wikipedia.org/wiki/Brasile', 'https://it.wikipedia.org/wiki/Cloroformio', 'https://it.wikipedia.org/wiki/Metanolo', 'https://it.wikipedia.org/wiki/Betel_(pianta)', 'https://it.wikipedia.org/wiki/Diclorometano', 'https://it.wikipedia.org/wiki/Andrographis_paniculata', 'https://it.wikipedia.org/wiki/Filippine', 'https://it.wikipedia.org/wiki/Antibiotico', 'https://it.wikipedia.org/wiki/Collirio', 'https://it.wikipedia.org/wiki/Scabbia', 'https://it.wikipedia.org/wiki/Bacteria']",Health disinformation,Covid-19 therapies,Covid-19 therapies
Assunzione di cocaina,Terapie per la COVID-19,Disinformazione sanitaria,"['/wiki/Cocaina', '/wiki/Olivier_Véran', '/wiki/Organizzazione_Mondiale_della_Sanità']","['https://it.wikipedia.org/wiki/Cocaina', 'https://it.wikipedia.org/wiki/Olivier_Véran', 'https://it.wikipedia.org/wiki/Organizzazione_Mondiale_della_Sanità']",Health disinformation,Covid-19 therapies,Cocaine intake
Plasma iperimmune,Terapie per la COVID-19,Disinformazione sanitaria,['/wiki/Plasma_iperimmune'],['https://it.wikipedia.org/wiki/Plasma_iperimmune'],Health disinformation,Covid-19 therapies,Plasma iperimmune
Cure alternative,Terapie per la COVID-19,Disinformazione sanitaria,"['/wiki/Omeopatia', '/wiki/Kerala', '/wiki/Arsenicum_album', '/wiki/Allium_sativum', '/wiki/Eucalyptus', '/wiki/Commercio_elettronico', '/wiki/Kiwi_(frutto)', '/wiki/Curcuma', '/wiki/Zingiber_officinale', '/wiki/Mangifera_indica', '/wiki/Durian', '/wiki/Azadirachta_indica', '/wiki/Foeniculum_vulgare', '/wiki/Oseltamivir', '/wiki/Brasile', '/wiki/Gelato', '/wiki/UNICEF', '/wiki/J._K._Rowling', '/wiki/Acido_acetilsalicilico', '/wiki/Antistaminico', '/wiki/Antivirale', '/wiki/Filippine', ""/wiki/Stati_Uniti_d'America"", '/wiki/Medicina_alternativa', '/wiki/Perossido_di_idrogeno']","['https://it.wikipedia.org/wiki/Omeopatia', 'https://it.wikipedia.org/wiki/Kerala', 'https://it.wikipedia.org/wiki/Arsenicum_album', 'https://it.wikipedia.org/wiki/Allium_sativum', 'https://it.wikipedia.org/wiki/Eucalyptus', 'https://it.wikipedia.org/wiki/Commercio_elettronico', 'https://it.wikipedia.org/wiki/Kiwi_(frutto)', 'https://it.wikipedia.org/wiki/Curcuma', 'https://it.wikipedia.org/wiki/Zingiber_officinale', 'https://it.wikipedia.org/wiki/Mangifera_indica', 'https://it.wikipedia.org/wiki/Durian', 'https://it.wikipedia.org/wiki/Azadirachta_indica', 'https://it.wikipedia.org/wiki/Foeniculum_vulgare', 'https://it.wikipedia.org/wiki/Oseltamivir', 'https://it.wikipedia.org/wiki/Brasile', 'https://it.wikipedia.org/wiki/Gelato', 'https://it.wikipedia.org/wiki/UNICEF', 'https://it.wikipedia.org/wiki/J._K._Rowling', 'https://it.wikipedia.org/wiki/Acido_acetilsalicilico', 'https://it.wikipedia.org/wiki/Antistaminico', 'https://it.wikipedia.org/wiki/Antivirale', 'https://it.wikipedia.org/wiki/Filippine', ""https://it.wikipedia.org/wiki/Stati_Uniti_d'America"", 'https://it.wikipedia.org/wiki/Medicina_alternativa', 'https://it.wikipedia.org/wiki/Perossido_di_idrogeno']",Health disinformation,Covid-19 therapies,Cure alternative
