Sub-subheading,Subheading,Main Heading,Links,Full Links
In the United States,Jewish origin,Virus origin,['/wiki/Federal_Bureau_of_Investigation'],['https://en.wikipedia.org/wiki/Federal_Bureau_of_Investigation']
In Germany,Jewish origin,Virus origin,"['/wiki/Reichsbürger_movement', ""/wiki/2022_German_coup_d'état_plot"", '/wiki/Karl_Lauterbach']","['https://en.wikipedia.org/wiki/Reichsbürger_movement', ""https://en.wikipedia.org/wiki/2022_German_coup_d'état_plot"", 'https://en.wikipedia.org/wiki/Karl_Lauterbach']"
In Britain,Jewish origin,Virus origin,['/wiki/University_of_Oxford'],['https://en.wikipedia.org/wiki/University_of_Oxford']
Muslims spreading virus,Muslims spreading virus,Virus origin,"['/wiki/2020_Tablighi_Jamaat_coronavirus_hotspot_in_Delhi', '/wiki/Tablighi_Jamaat', '/wiki/Patna']","['https://en.wikipedia.org/wiki/2020_Tablighi_Jamaat_coronavirus_hotspot_in_Delhi', 'https://en.wikipedia.org/wiki/Tablighi_Jamaat', 'https://en.wikipedia.org/wiki/Patna']"
Population-control scheme,Population-control scheme,Virus origin,"['/wiki/List_of_conspiracy_theories#RFID_chips', '/wiki/YouTuber', '/wiki/QAnon', '/wiki/Anti-vaccine_activism', '/wiki/Pirbright_Institute', '/wiki/Microsoft', '/wiki/Bill_Gates', '/wiki/Piers_Corbyn', '/wiki/Hilary_Jones_(doctor)', '/wiki/Good_Morning_Britain_(2014_TV_programme)']","['https://en.wikipedia.org/wiki/List_of_conspiracy_theories#RFID_chips', 'https://en.wikipedia.org/wiki/YouTuber', 'https://en.wikipedia.org/wiki/QAnon', 'https://en.wikipedia.org/wiki/Anti-vaccine_activism', 'https://en.wikipedia.org/wiki/Pirbright_Institute', 'https://en.wikipedia.org/wiki/Microsoft', 'https://en.wikipedia.org/wiki/Bill_Gates', 'https://en.wikipedia.org/wiki/Piers_Corbyn', 'https://en.wikipedia.org/wiki/Hilary_Jones_(doctor)', 'https://en.wikipedia.org/wiki/Good_Morning_Britain_(2014_TV_programme)']"
5G,5G,Virus origin,"['/wiki/Wireless_device_radiation_and_health', '/wiki/Openreach', '/wiki/5G', '/wiki/Alternative_medicine', '/wiki/Medical_Board_of_California', '/wiki/COVID-19_pandemic_in_Africa', '/wiki/Cell_(biology)', '/wiki/Woody_Harrelson', '/wiki/John_Cusack', '/wiki/Keri_Hilson', '/wiki/Internet_Research_Agency', '/wiki/Saint_Petersburg,_Russia', '/wiki/Reuters', '/wiki/USA_Today', '/wiki/Full_Fact', '/wiki/American_Public_Health_Association', '/wiki/Georges_C._Benjamin', '/wiki/Mark_Steele_(conspiracy_theorist)', '/wiki/Kate_Shemirani', '/wiki/General_Medical_Council', '/wiki/NHS_England', '/wiki/Radio_wave', '/wiki/Dagenham', '/wiki/Huddersfield', '/wiki/NHS_Nightingale_Hospital_Birmingham', '/wiki/Garda_Síochána', '/wiki/County_Donegal', '/wiki/Michael_Gove', '/wiki/Vodafone_UK', '/wiki/O2_(UK)', '/wiki/Openreach', '/wiki/British_Telecom', '/wiki/David_Icke', '/wiki/Vimeo', '/wiki/London_Live_(TV_channel)', '/wiki/Ofcom', '/wiki/ITV_(TV_channel)', '/wiki/Eamonn_Holmes', '/wiki/This_Morning_(TV_programme)', '/wiki/The_Guardian', '/wiki/Luton', '/wiki/Bank_of_England', '/wiki/Bank_of_England_£20_note', '/wiki/SARS-CoV-2', '/wiki/Fact_checking', '/wiki/Margate_Lighthouse', '/wiki/Tate_Britain']","['https://en.wikipedia.org/wiki/Wireless_device_radiation_and_health', 'https://en.wikipedia.org/wiki/Openreach', 'https://en.wikipedia.org/wiki/5G', 'https://en.wikipedia.org/wiki/Alternative_medicine', 'https://en.wikipedia.org/wiki/Medical_Board_of_California', 'https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Africa', 'https://en.wikipedia.org/wiki/Cell_(biology)', 'https://en.wikipedia.org/wiki/Woody_Harrelson', 'https://en.wikipedia.org/wiki/John_Cusack', 'https://en.wikipedia.org/wiki/Keri_Hilson', 'https://en.wikipedia.org/wiki/Internet_Research_Agency', 'https://en.wikipedia.org/wiki/Saint_Petersburg,_Russia', 'https://en.wikipedia.org/wiki/Reuters', 'https://en.wikipedia.org/wiki/USA_Today', 'https://en.wikipedia.org/wiki/Full_Fact', 'https://en.wikipedia.org/wiki/American_Public_Health_Association', 'https://en.wikipedia.org/wiki/Georges_C._Benjamin', 'https://en.wikipedia.org/wiki/Mark_Steele_(conspiracy_theorist)', 'https://en.wikipedia.org/wiki/Kate_Shemirani', 'https://en.wikipedia.org/wiki/General_Medical_Council', 'https://en.wikipedia.org/wiki/NHS_England', 'https://en.wikipedia.org/wiki/Radio_wave', 'https://en.wikipedia.org/wiki/Dagenham', 'https://en.wikipedia.org/wiki/Huddersfield', 'https://en.wikipedia.org/wiki/NHS_Nightingale_Hospital_Birmingham', 'https://en.wikipedia.org/wiki/Garda_Síochána', 'https://en.wikipedia.org/wiki/County_Donegal', 'https://en.wikipedia.org/wiki/Michael_Gove', 'https://en.wikipedia.org/wiki/Vodafone_UK', 'https://en.wikipedia.org/wiki/O2_(UK)', 'https://en.wikipedia.org/wiki/Openreach', 'https://en.wikipedia.org/wiki/British_Telecom', 'https://en.wikipedia.org/wiki/David_Icke', 'https://en.wikipedia.org/wiki/Vimeo', 'https://en.wikipedia.org/wiki/London_Live_(TV_channel)', 'https://en.wikipedia.org/wiki/Ofcom', 'https://en.wikipedia.org/wiki/ITV_(TV_channel)', 'https://en.wikipedia.org/wiki/Eamonn_Holmes', 'https://en.wikipedia.org/wiki/This_Morning_(TV_programme)', 'https://en.wikipedia.org/wiki/The_Guardian', 'https://en.wikipedia.org/wiki/Luton', 'https://en.wikipedia.org/wiki/Bank_of_England', 'https://en.wikipedia.org/wiki/Bank_of_England_£20_note', 'https://en.wikipedia.org/wiki/SARS-CoV-2', 'https://en.wikipedia.org/wiki/Fact_checking', 'https://en.wikipedia.org/wiki/Margate_Lighthouse', 'https://en.wikipedia.org/wiki/Tate_Britain']"
American scientist selling virus to China,American scientist selling virus to China,Virus origin,"['/wiki/Charles_Lieber', '/wiki/Harvard_University', '/wiki/Reuters']","['https://en.wikipedia.org/wiki/Charles_Lieber', 'https://en.wikipedia.org/wiki/Harvard_University', 'https://en.wikipedia.org/wiki/Reuters']"
Meteor origin,Meteor origin,Virus origin,"['/wiki/Edward_J._Steele', '/wiki/Chandra_Wickramasinghe', '/wiki/Panspermia', '/wiki/Meteorite', '/wiki/Songyuan', '/wiki/Astronomy.com']","['https://en.wikipedia.org/wiki/Edward_J._Steele', 'https://en.wikipedia.org/wiki/Chandra_Wickramasinghe', 'https://en.wikipedia.org/wiki/Panspermia', 'https://en.wikipedia.org/wiki/Meteorite', 'https://en.wikipedia.org/wiki/Songyuan', 'https://en.wikipedia.org/wiki/Astronomy.com']"
National Center for Medical Intelligence intelligence report,National Center for Medical Intelligence intelligence report,Virus origin,"['/wiki/ABC_News', '/wiki/National_Center_for_Medical_Intelligence', '/wiki/Reverse_transcription_polymerase_chain_reaction', '/wiki/Kary_Mullis', '/wiki/Polymerase_chain_reaction', '/wiki/COVID-19_testing', '/wiki/Nobel_Prize_in_Chemistry', '/wiki/Federal_Office_of_Public_Health', '/wiki/Agence_France-Presse', '/wiki/National_Institute_of_Molecular_Biology_and_Biotechnology', '/wiki/Daily_Mail', '/wiki/The_Sun_(United_Kingdom)', '/wiki/Shenzhen']","['https://en.wikipedia.org/wiki/ABC_News', 'https://en.wikipedia.org/wiki/National_Center_for_Medical_Intelligence', 'https://en.wikipedia.org/wiki/Reverse_transcription_polymerase_chain_reaction', 'https://en.wikipedia.org/wiki/Kary_Mullis', 'https://en.wikipedia.org/wiki/Polymerase_chain_reaction', 'https://en.wikipedia.org/wiki/COVID-19_testing', 'https://en.wikipedia.org/wiki/Nobel_Prize_in_Chemistry', 'https://en.wikipedia.org/wiki/Federal_Office_of_Public_Health', 'https://en.wikipedia.org/wiki/Agence_France-Presse', 'https://en.wikipedia.org/wiki/National_Institute_of_Molecular_Biology_and_Biotechnology', 'https://en.wikipedia.org/wiki/Daily_Mail', 'https://en.wikipedia.org/wiki/The_Sun_(United_Kingdom)', 'https://en.wikipedia.org/wiki/Shenzhen']"
In China,In China,Incidence and mortality,[],[]
Chinese under-reporting during early 2020,In China,Incidence and mortality,['/wiki/CNN'],['https://en.wikipedia.org/wiki/CNN']
Nurse whistleblower,In China,Incidence and mortality,"['/wiki/Hubei', '/wiki/R_number']","['https://en.wikipedia.org/wiki/Hubei', 'https://en.wikipedia.org/wiki/R_number']"
Alleged leak of death toll by Tencent,In China,Incidence and mortality,"['/wiki/Taiwan_News', '/wiki/Tencent', '/wiki/Netizen', '/wiki/Daily_Mail', '/wiki/WION_(TV_channel)']","['https://en.wikipedia.org/wiki/Taiwan_News', 'https://en.wikipedia.org/wiki/Tencent', 'https://en.wikipedia.org/wiki/Netizen', 'https://en.wikipedia.org/wiki/Daily_Mail', 'https://en.wikipedia.org/wiki/WION_(TV_channel)']"
Mass cremation in Wuhan,In China,Incidence and mortality,"['/wiki/Daily_Express', '/wiki/Daily_Mail', '/wiki/Taiwan_News', '/wiki/Snopes', '/wiki/Sulfur_dioxide', '/wiki/The_Epoch_Times', '/wiki/COVID-19_pandemic', '/wiki/Agence_France-Presse']","['https://en.wikipedia.org/wiki/Daily_Express', 'https://en.wikipedia.org/wiki/Daily_Mail', 'https://en.wikipedia.org/wiki/Taiwan_News', 'https://en.wikipedia.org/wiki/Snopes', 'https://en.wikipedia.org/wiki/Sulfur_dioxide', 'https://en.wikipedia.org/wiki/The_Epoch_Times', 'https://en.wikipedia.org/wiki/COVID-19_pandemic', 'https://en.wikipedia.org/wiki/Agence_France-Presse']"
Decline in cellphone subscriptions,In China,Incidence and mortality,"['/wiki/Social_impact_of_the_COVID-19_pandemic', '/wiki/Economic_impact_of_the_COVID-19_pandemic']","['https://en.wikipedia.org/wiki/Social_impact_of_the_COVID-19_pandemic', 'https://en.wikipedia.org/wiki/Economic_impact_of_the_COVID-19_pandemic']"
In the US,In the US,Incidence and mortality,"['/wiki/Fax', '/wiki/Contact_tracing', '/wiki/Case_finding']","['https://en.wikipedia.org/wiki/Fax', 'https://en.wikipedia.org/wiki/Contact_tracing', 'https://en.wikipedia.org/wiki/Case_finding']"
Allegations of inflated death counts,In the US,Incidence and mortality,"['/wiki/Conspiracy_theory', '/wiki/Centers_for_Disease_Control_and_Prevention', '/wiki/National_Vital_Statistics_System', '/wiki/Mortality_displacement', '/wiki/FactCheck.org']","['https://en.wikipedia.org/wiki/Conspiracy_theory', 'https://en.wikipedia.org/wiki/Centers_for_Disease_Control_and_Prevention', 'https://en.wikipedia.org/wiki/National_Vital_Statistics_System', 'https://en.wikipedia.org/wiki/Mortality_displacement', 'https://en.wikipedia.org/wiki/FactCheck.org']"
Misleading Johns Hopkins News-Letter article,In the US,Incidence and mortality,['/wiki/The_Johns_Hopkins_News-Letter'],['https://en.wikipedia.org/wiki/The_Johns_Hopkins_News-Letter']
Misinformation targeting Taiwan,Misinformation targeting Taiwan,Incidence and mortality,"['/wiki/Cross-Strait_relations', '/wiki/Central_News_Agency_(Republic_of_China)', '/wiki/COVID-19_pandemic_in_Taiwan', '/wiki/Tsai_Ing-wen', '/wiki/Mainland_China', '/wiki/Simplified_Chinese_characters', '/wiki/Ministry_of_Justice_Investigation_Bureau', '/wiki/Taiwan_Affairs_Office', '/wiki/Democratic_Progressive_Party', '/wiki/The_Washington_Post', '/wiki/Institute_for_the_Future', '/wiki/Great_Firewall', '/wiki/American_Institute_in_Taiwan']","['https://en.wikipedia.org/wiki/Cross-Strait_relations', 'https://en.wikipedia.org/wiki/Central_News_Agency_(Republic_of_China)', 'https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Taiwan', 'https://en.wikipedia.org/wiki/Tsai_Ing-wen', 'https://en.wikipedia.org/wiki/Mainland_China', 'https://en.wikipedia.org/wiki/Simplified_Chinese_characters', 'https://en.wikipedia.org/wiki/Ministry_of_Justice_Investigation_Bureau', 'https://en.wikipedia.org/wiki/Taiwan_Affairs_Office', 'https://en.wikipedia.org/wiki/Democratic_Progressive_Party', 'https://en.wikipedia.org/wiki/The_Washington_Post', 'https://en.wikipedia.org/wiki/Institute_for_the_Future', 'https://en.wikipedia.org/wiki/Great_Firewall', 'https://en.wikipedia.org/wiki/American_Institute_in_Taiwan']"
Misrepresented World Population Project map,Misrepresented World Population Project map,Incidence and mortality,['/wiki/University_of_Southampton'],['https://en.wikipedia.org/wiki/University_of_Southampton']
"""Casedemic""","""Casedemic""",Incidence and mortality,"['/wiki/COVID-19_denial', '/wiki/Anti-vaccination', '/wiki/David_Gorski', '/wiki/Joseph_Mercola', '/wiki/Polymerase_chain_reaction', '/wiki/Transmission_of_COVID-19#Asymptomatic_transmission', '/wiki/Respiratory_droplet']","['https://en.wikipedia.org/wiki/COVID-19_denial', 'https://en.wikipedia.org/wiki/Anti-vaccination', 'https://en.wikipedia.org/wiki/David_Gorski', 'https://en.wikipedia.org/wiki/Joseph_Mercola', 'https://en.wikipedia.org/wiki/Polymerase_chain_reaction', 'https://en.wikipedia.org/wiki/Transmission_of_COVID-19#Asymptomatic_transmission', 'https://en.wikipedia.org/wiki/Respiratory_droplet']"
California herd immunity in 2019,California herd immunity in 2019,Disease spread,['/wiki/Victor_Davis_Hanson'],['https://en.wikipedia.org/wiki/Victor_Davis_Hanson']
Patient Zero,Patient Zero,Disease spread,"['/wiki/Index_case', '/wiki/2019_Military_World_Games', '/wiki/Benny_Benassi']","['https://en.wikipedia.org/wiki/Index_case', 'https://en.wikipedia.org/wiki/2019_Military_World_Games', 'https://en.wikipedia.org/wiki/Benny_Benassi']"
Airborne,Airborne,Disease spread,"['/wiki/World_Health_Organization', '/wiki/Tedros_Adhanom_Ghebreyesus', '/wiki/Lidia_Morawska']","['https://en.wikipedia.org/wiki/World_Health_Organization', 'https://en.wikipedia.org/wiki/Tedros_Adhanom_Ghebreyesus', 'https://en.wikipedia.org/wiki/Lidia_Morawska']"
Surfaces,Surfaces,Disease spread,"['/wiki/Fomite', '/wiki/Centers_for_Disease_Control_and_Prevention', '/wiki/Handwashing']","['https://en.wikipedia.org/wiki/Fomite', 'https://en.wikipedia.org/wiki/Centers_for_Disease_Control_and_Prevention', 'https://en.wikipedia.org/wiki/Handwashing']"
Susceptibility based on ethnicity,Susceptibility based on ethnicity,Disease spread,"['/wiki/Ethnicities', '/wiki/Zoonotic', '/wiki/Population_immunity', '/wiki/Mutahi_Kagwe', '/wiki/All_India_Institute_of_Medical_Sciences', '/wiki/Population_immunity', '/wiki/Supreme_Leader_of_Iran', '/wiki/Ali_Khamenei', '/wiki/COVID-19_pandemic_in_Iran']","['https://en.wikipedia.org/wiki/Ethnicities', 'https://en.wikipedia.org/wiki/Zoonotic', 'https://en.wikipedia.org/wiki/Population_immunity', 'https://en.wikipedia.org/wiki/Mutahi_Kagwe', 'https://en.wikipedia.org/wiki/All_India_Institute_of_Medical_Sciences', 'https://en.wikipedia.org/wiki/Population_immunity', 'https://en.wikipedia.org/wiki/Supreme_Leader_of_Iran', 'https://en.wikipedia.org/wiki/Ali_Khamenei', 'https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Iran']"
Xenophobic blaming by ethnicity and religion,Susceptibility based on ethnicity,Disease spread,"['/wiki/Xenophobia_and_racism_related_to_the_COVID-19_pandemic', '/wiki/Xenophobic', '/wiki/White_supremacist']","['https://en.wikipedia.org/wiki/Xenophobia_and_racism_related_to_the_COVID-19_pandemic', 'https://en.wikipedia.org/wiki/Xenophobic', 'https://en.wikipedia.org/wiki/White_supremacist']"
Bat soup,Bat soup,Disease spread,"['/wiki/Daily_Mail', '/wiki/RT_(TV_network)', '/wiki/Vlogger', '/wiki/Palau', '/wiki/Microblogging_in_China', '/wiki/Palauan_cuisine', '/wiki/Xenophobia_and_racism_related_to_the_COVID-19_pandemic']","['https://en.wikipedia.org/wiki/Daily_Mail', 'https://en.wikipedia.org/wiki/RT_(TV_network)', 'https://en.wikipedia.org/wiki/Vlogger', 'https://en.wikipedia.org/wiki/Palau', 'https://en.wikipedia.org/wiki/Microblogging_in_China', 'https://en.wikipedia.org/wiki/Palauan_cuisine', 'https://en.wikipedia.org/wiki/Xenophobia_and_racism_related_to_the_COVID-19_pandemic']"
Large gatherings,Large gatherings,Disease spread,[],[]
Lifetime of the virus,Lifetime of the virus,Disease spread,['/wiki/COVID-19_lockdown_in_India#Janata_Curfew'],['https://en.wikipedia.org/wiki/COVID-19_lockdown_in_India#Janata_Curfew']
Mosquitoes,Mosquitoes,Disease spread,['/wiki/Mosquito'],['https://en.wikipedia.org/wiki/Mosquito']
Contaminated objects,Contaminated objects,Disease spread,"['/wiki/Costco', '/wiki/Product_recall', '/wiki/Australia_Department_of_Health']","['https://en.wikipedia.org/wiki/Costco', 'https://en.wikipedia.org/wiki/Product_recall', 'https://en.wikipedia.org/wiki/Australia_Department_of_Health']"
Cruise ships as safe havens,Cruise ships as safe havens,Disease spread,"['/wiki/COVID-19_pandemic_on_cruise_ships', '/wiki/Caribbean', '/wiki/Mediterranean', '/wiki/Persian_Gulf', '/wiki/Miami_New_Times', '/wiki/Norwegian_Cruise_Line', '/wiki/Sic', '/wiki/COVID-19_pandemic_on_cruise_ships', '/wiki/Dubai', '/wiki/Climate_of_Dubai', '/wiki/Dubai_International_Airport', '/wiki/COVID-19_pandemic_in_the_United_Arab_Emirates']","['https://en.wikipedia.org/wiki/COVID-19_pandemic_on_cruise_ships', 'https://en.wikipedia.org/wiki/Caribbean', 'https://en.wikipedia.org/wiki/Mediterranean', 'https://en.wikipedia.org/wiki/Persian_Gulf', 'https://en.wikipedia.org/wiki/Miami_New_Times', 'https://en.wikipedia.org/wiki/Norwegian_Cruise_Line', 'https://en.wikipedia.org/wiki/Sic', 'https://en.wikipedia.org/wiki/COVID-19_pandemic_on_cruise_ships', 'https://en.wikipedia.org/wiki/Dubai', 'https://en.wikipedia.org/wiki/Climate_of_Dubai', 'https://en.wikipedia.org/wiki/Dubai_International_Airport', 'https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_United_Arab_Emirates']"
Breastfeeding,Breastfeeding,Disease spread,['/wiki/UNICEF'],['https://en.wikipedia.org/wiki/UNICEF']
