Sub-subheading,Subheading,Main Heading,Links,Full Links,Main Heading_translated,Subheading_translated,Sub-subheading_translated,English Full Links,English Relative Links
“北京协和医院2019冠狀病毒病患者出逃”,“北京协和医院2019冠狀病毒病患者出逃”,疫情其他谣言,['/wiki/北京协和医院'],['https://zh.wikipedia.org/wiki/北京协和医院'],Other rumors of the epidemic,"""Patients with Coronary Viruses in Beijing Union Hospital for escape""","""Patients with Coronary Viruses in Beijing Union Hospital for escape""",['https://en.wikipedia.org/wiki/Peking_Union_Medical_College_Hospital'],['/wiki/Peking_Union_Medical_College_Hospital']
“有100多名来自武汉的旅客被拒绝进入新加坡”,“有100多名来自武汉的旅客被拒绝进入新加坡”,疫情其他谣言,[],[],Other rumors of the epidemic,"""More than 100 passengers from Wuhan were rejected into Singapore""","""More than 100 passengers from Wuhan were rejected into Singapore""",[],[]
“武汉火神山医院选址有误需重新选址”,“武汉火神山医院选址有误需重新选址”,疫情其他谣言,['/wiki/武汉火神山医院'],['https://zh.wikipedia.org/wiki/武汉火神山医院'],Other rumors of the epidemic,"""Wuhan Huoshen Mountain Hospital has an error selection and need to be re -selected.""","""Wuhan Huoshen Mountain Hospital has an error selection and need to be re -selected.""",['https://zh.wikipedia.org/wiki/武汉火神山医院'],['https://zh.wikipedia.org/wiki/武汉火神山医院']
“武汉市第四医院武胜路院区急诊停诊”,“武汉市第四医院武胜路院区急诊停诊”,疫情其他谣言,[],[],Other rumors of the epidemic,"""Emergency Disclosure of Wu Sheng Road District, Wuhan Fourth Hospital""","""Emergency Disclosure of Wu Sheng Road District, Wuhan Fourth Hospital""",[],[]
“襄阳1月25日0点封城”,“襄阳1月25日0点封城”,疫情其他谣言,['/wiki/襄阳日报'],['https://zh.wikipedia.org/wiki/襄阳日报'],Other rumors of the epidemic,"""Xiangyang January 25th to close the city""","""Xiangyang January 25th to close the city""",['https://zh.wikipedia.org/wiki/襄阳日报'],['https://zh.wikipedia.org/wiki/襄阳日报']
"「中國確診患者超過90,000人」","「中國確診患者超過90,000人」",疫情其他谣言,"['/wiki/YouTube', '/wiki/世界衛生組織']","['https://zh.wikipedia.org/wiki/YouTube', 'https://zh.wikipedia.org/wiki/世界衛生組織']",Other rumors of the epidemic,"""There are more than 90,000 patients in Chinese diagnosis""","""There are more than 90,000 patients in Chinese diagnosis""","['https://en.wikipedia.org/wiki/YouTube', 'https://zh.wikipedia.org/wiki/世界衛生組織']","['/wiki/YouTube', 'https://zh.wikipedia.org/wiki/世界衛生組織']"
“魔女小稀事件”,“魔女小稀事件”,疫情其他谣言,['/wiki/中國共產主義青年團'],['https://zh.wikipedia.org/wiki/中國共產主義青年團'],Other rumors of the epidemic,"""Witch Little Dissan""","""Witch Little Dissan""",['https://zh.wikipedia.org/wiki/中國共產主義青年團'],['https://zh.wikipedia.org/wiki/中國共產主義青年團']
“鄧崎琳赴港探视女儿”,“鄧崎琳赴港探视女儿”,疫情其他谣言,"['/wiki/海通國際', '/wiki/武钢集团', '/wiki/邓崎琳', '/wiki/新京报']","['https://zh.wikipedia.org/wiki/海通國際', 'https://zh.wikipedia.org/wiki/武钢集团', 'https://zh.wikipedia.org/wiki/邓崎琳', 'https://zh.wikipedia.org/wiki/新京报']",Other rumors of the epidemic,"""Deng Qilin went to Hong Kong to visit his daughter""","""Deng Qilin went to Hong Kong to visit his daughter""","['https://en.wikipedia.org/wiki/Haitong_International', 'https://en.wikipedia.org/wiki/Wuhan_Iron_and_Steel_Corporation', 'https://en.wikipedia.org/wiki/Deng_Qilin', 'https://en.wikipedia.org/wiki/The_Beijing_News']","['/wiki/Haitong_International', '/wiki/Wuhan_Iron_and_Steel_Corporation', '/wiki/Deng_Qilin', '/wiki/The_Beijing_News']"
「病毒是武汉实验室泄露的生化武器」,「病毒是武汉实验室泄露的生化武器」,疫情其他谣言,"['/wiki/汤姆·科顿', '/wiki/英國廣播公司', '/wiki/中国科学院武汉病毒研究所', '/wiki/生物武器', '/wiki/中国驻美国大使列表', '/wiki/崔天凯', '/wiki/面向全民', '/wiki/英国广播公司', '/wiki/华盛顿时报', '/wiki/華盛頓郵報', '/wiki/嚴重急性呼吸綜合症冠狀病毒2型', '/wiki/Now新聞台', '/wiki/美国众议院外交事务委员会', '/wiki/麥克·麥克考', '/wiki/美国之音']","['https://zh.wikipedia.org/wiki/汤姆·科顿', 'https://zh.wikipedia.org/wiki/英國廣播公司', 'https://zh.wikipedia.org/wiki/中国科学院武汉病毒研究所', 'https://zh.wikipedia.org/wiki/生物武器', 'https://zh.wikipedia.org/wiki/中国驻美国大使列表', 'https://zh.wikipedia.org/wiki/崔天凯', 'https://zh.wikipedia.org/wiki/面向全民', 'https://zh.wikipedia.org/wiki/英国广播公司', 'https://zh.wikipedia.org/wiki/华盛顿时报', 'https://zh.wikipedia.org/wiki/華盛頓郵報', 'https://zh.wikipedia.org/wiki/嚴重急性呼吸綜合症冠狀病毒2型', 'https://zh.wikipedia.org/wiki/Now新聞台', 'https://zh.wikipedia.org/wiki/美国众议院外交事务委员会', 'https://zh.wikipedia.org/wiki/麥克·麥克考', 'https://zh.wikipedia.org/wiki/美国之音']",Other rumors of the epidemic,"""Virus is a biochemical weapon leaked in Wuhan Laboratory"" ""","""Virus is a biochemical weapon leaked in Wuhan Laboratory"" ""","['https://en.wikipedia.org/wiki/Tom_Cotton', 'https://zh.wikipedia.org/wiki/英國廣播公司', 'https://en.wikipedia.org/wiki/Wuhan_Institute_of_Virology', 'https://en.wikipedia.org/wiki/Biological_weapon', 'https://en.wikipedia.org/wiki/List_of_ambassadors_of_China_to_the_United_States', 'https://en.wikipedia.org/wiki/Cui_Tiankai', 'https://zh.wikipedia.org/wiki/面向全民', 'https://en.wikipedia.org/wiki/BBC', 'https://en.wikipedia.org/wiki/The_Washington_Times', 'https://zh.wikipedia.org/wiki/華盛頓郵報', 'https://en.wikipedia.org/wiki/SARS-CoV-2', 'https://zh.wikipedia.org/wiki/Now新聞台', 'https://zh.wikipedia.org/wiki/美国众议院外交事务委员会', 'https://en.wikipedia.org/wiki/Michael_McCaul', 'https://en.wikipedia.org/wiki/Voice_of_America']","['/wiki/Tom_Cotton', 'https://zh.wikipedia.org/wiki/英國廣播公司', '/wiki/Wuhan_Institute_of_Virology', '/wiki/Biological_weapon', '/wiki/List_of_ambassadors_of_China_to_the_United_States', '/wiki/Cui_Tiankai', 'https://zh.wikipedia.org/wiki/面向全民', '/wiki/BBC', '/wiki/The_Washington_Times', 'https://zh.wikipedia.org/wiki/華盛頓郵報', '/wiki/SARS-CoV-2', 'https://zh.wikipedia.org/wiki/Now新聞台', 'https://zh.wikipedia.org/wiki/美国众议院外交事务委员会', '/wiki/Michael_McCaul', '/wiki/Voice_of_America']"
“CNN新聞播報畫面截圖”,“CNN新聞播報畫面截圖”,疫情其他谣言,['/wiki/CNN'],['https://zh.wikipedia.org/wiki/CNN'],Other rumors of the epidemic,"""Screenshot of CNN News Broadcasting screen""","""Screenshot of CNN News Broadcasting screen""",['https://zh.wikipedia.org/wiki/CNN'],['https://zh.wikipedia.org/wiki/CNN']
「假借本庶佑稱嚴重急性呼吸綜合症冠狀病毒2型為人工製造」,「假借本庶佑稱嚴重急性呼吸綜合症冠狀病毒2型為人工製造」,疫情其他谣言,"['/wiki/本庶佑', '/wiki/京都大學']","['https://zh.wikipedia.org/wiki/本庶佑', 'https://zh.wikipedia.org/wiki/京都大學']",Other rumors of the epidemic,"""By By Ben Yiyou called severe acute respiratory syndrome, the coronary virus type 2 is artificially manufactured""","""By By Ben Yiyou called severe acute respiratory syndrome, the coronary virus type 2 is artificially manufactured""","['https://en.wikipedia.org/wiki/Tasuku_Honjo', 'https://zh.wikipedia.org/wiki/京都大學']","['/wiki/Tasuku_Honjo', 'https://zh.wikipedia.org/wiki/京都大學']"
「劉迺強稱捷克專家指嚴重急性呼吸綜合症冠狀病毒2型源自實驗室」,「劉迺強稱捷克專家指嚴重急性呼吸綜合症冠狀病毒2型源自實驗室」,疫情其他谣言,"['/wiki/劉迺強', '/wiki/時聞香港', '/wiki/捷克', '/wiki/分子生物學', '/wiki/傳真社', '/wiki/新聞龍捲風', '/wiki/時事評論員']","['https://zh.wikipedia.org/wiki/劉迺強', 'https://zh.wikipedia.org/wiki/時聞香港', 'https://zh.wikipedia.org/wiki/捷克', 'https://zh.wikipedia.org/wiki/分子生物學', 'https://zh.wikipedia.org/wiki/傳真社', 'https://zh.wikipedia.org/wiki/新聞龍捲風', 'https://zh.wikipedia.org/wiki/時事評論員']",Other rumors of the epidemic,"""Liu Yeqiang said that the Czech experts refer to the severe acute respiratory syndrome Coronary virus type 2 originated from the laboratory""","""Liu Yeqiang said that the Czech experts refer to the severe acute respiratory syndrome Coronary virus type 2 originated from the laboratory""","['https://en.wikipedia.org/wiki/Lau_Nai-keung', 'https://zh.wikipedia.org/wiki/時聞香港', 'https://en.wikipedia.org/wiki/Czech_Republic', 'https://zh.wikipedia.org/wiki/分子生物學', 'https://en.wikipedia.org/wiki/FactWire', 'https://zh.wikipedia.org/wiki/新聞龍捲風', 'https://en.wikipedia.org/wiki/Pundit']","['/wiki/Lau_Nai-keung', 'https://zh.wikipedia.org/wiki/時聞香港', '/wiki/Czech_Republic', 'https://zh.wikipedia.org/wiki/分子生物學', '/wiki/FactWire', 'https://zh.wikipedia.org/wiki/新聞龍捲風', '/wiki/Pundit']"
「日本媒體報導嚴重急性呼吸綜合症冠狀病毒2型可能爆發時間」,「日本媒體報導嚴重急性呼吸綜合症冠狀病毒2型可能爆發時間」,疫情其他谣言,"['/wiki/朝日電視台', '/wiki/台灣事實查核中心']","['https://zh.wikipedia.org/wiki/朝日電視台', 'https://zh.wikipedia.org/wiki/台灣事實查核中心']",Other rumors of the epidemic,"""Japanese media reported severe acute respiratory syndrome Coronary virus type 2 may explode time""","""Japanese media reported severe acute respiratory syndrome Coronary virus type 2 may explode time""","['https://en.wikipedia.org/wiki/TV_Asahi', 'https://zh.wikipedia.org/wiki/台灣事實查核中心']","['/wiki/TV_Asahi', 'https://zh.wikipedia.org/wiki/台灣事實查核中心']"
「中國央視網轉外媒報導時引用不當翻譯」,「中國央視網轉外媒報導時引用不當翻譯」,疫情其他谣言,"['/wiki/央視網', '/wiki/杜蘭大學', '/wiki/自由亞洲電台', '/wiki/美國廣播公司']","['https://zh.wikipedia.org/wiki/央視網', 'https://zh.wikipedia.org/wiki/杜蘭大學', 'https://zh.wikipedia.org/wiki/自由亞洲電台', 'https://zh.wikipedia.org/wiki/美國廣播公司']",Other rumors of the epidemic,"""China CCTV.com has referenced improper translation when reporting to foreign media""","""China CCTV.com has referenced improper translation when reporting to foreign media""","['https://zh.wikipedia.org/wiki/央視網', 'https://en.wikipedia.org/wiki/Tulane_University', 'https://zh.wikipedia.org/wiki/自由亞洲電台', 'https://zh.wikipedia.org/wiki/美國廣播公司']","['https://zh.wikipedia.org/wiki/央視網', '/wiki/Tulane_University', 'https://zh.wikipedia.org/wiki/自由亞洲電台', 'https://zh.wikipedia.org/wiki/美國廣播公司']"
“俄罗斯认定嚴重急性呼吸綜合症冠狀病毒2型为人工合成病毒”,“俄罗斯认定嚴重急性呼吸綜合症冠狀病毒2型为人工合成病毒”,疫情其他谣言,[],[],Other rumors of the epidemic,"""Russia determined that severe acute respiratory syndrome coronal virus type 2 is artificial synthetic virus""","""Russia determined that severe acute respiratory syndrome coronal virus type 2 is artificial synthetic virus""",[],[]
