Sub-subheading,Subheading,Main Heading,Links,Full Links,Main Heading_translated,Subheading_translated,Sub-subheading_translated,English Full Links,English Relative Links
International,International,Antiwissenschaftliche Fehlinformationen,"['/wiki/Heinrich_Fiechtner', '/wiki/Alternative_für_Deutschland', '/wiki/World_Council_for_Health']","['https://de.wikipedia.org/wiki/Heinrich_Fiechtner', 'https://de.wikipedia.org/wiki/Alternative_für_Deutschland', 'https://de.wikipedia.org/wiki/World_Council_for_Health']",Anti -science misinformation,International,International,"['https://en.wikipedia.org/wiki/Heinrich_Fiechtner', 'https://en.wikipedia.org/wiki/Alternative_for_Germany', 'https://en.wikipedia.org/wiki/World_Council_for_Health']","['/wiki/Heinrich_Fiechtner', '/wiki/Alternative_for_Germany', '/wiki/World_Council_for_Health']"
Deutschland,Deutschland,Antiwissenschaftliche Fehlinformationen,"['/wiki/Bild_(Zeitung)', '/wiki/Preprint', '/wiki/Christian_Drosten', '/wiki/Rachenraum', '/wiki/Sucharit_Bhakdi', '/wiki/Stefan_Homburg', '/wiki/Christof_Kuhbandner', '/wiki/Werner_Müller_(Wirtschaftswissenschaftler)', '/wiki/Bodo_Schiffmann', '/wiki/Harald_Walach', '/wiki/Wolfgang_Wodarg', '/wiki/Wolfgang_Wodarg', '/wiki/Jens_Spahn', '/wiki/Boris_Pistorius', '/wiki/Christine_Lambrecht', '/wiki/Landeskriminalamt_Nordrhein-Westfalen']","['https://de.wikipedia.org/wiki/Bild_(Zeitung)', 'https://de.wikipedia.org/wiki/Preprint', 'https://de.wikipedia.org/wiki/Christian_Drosten', 'https://de.wikipedia.org/wiki/Rachenraum', 'https://de.wikipedia.org/wiki/Sucharit_Bhakdi', 'https://de.wikipedia.org/wiki/Stefan_Homburg', 'https://de.wikipedia.org/wiki/Christof_Kuhbandner', 'https://de.wikipedia.org/wiki/Werner_Müller_(Wirtschaftswissenschaftler)', 'https://de.wikipedia.org/wiki/Bodo_Schiffmann', 'https://de.wikipedia.org/wiki/Harald_Walach', 'https://de.wikipedia.org/wiki/Wolfgang_Wodarg', 'https://de.wikipedia.org/wiki/Wolfgang_Wodarg', 'https://de.wikipedia.org/wiki/Jens_Spahn', 'https://de.wikipedia.org/wiki/Boris_Pistorius', 'https://de.wikipedia.org/wiki/Christine_Lambrecht', 'https://de.wikipedia.org/wiki/Landeskriminalamt_Nordrhein-Westfalen']",Anti -science misinformation,Deutschland,Deutschland,"['https://en.wikipedia.org/wiki/Bild', 'https://en.wikipedia.org/wiki/Preprint', 'https://en.wikipedia.org/wiki/Christian_Drosten', 'https://de.wikipedia.org/wiki/Rachenraum', 'https://en.wikipedia.org/wiki/Sucharit_Bhakdi', 'https://en.wikipedia.org/wiki/Stefan_Homburg', 'https://de.wikipedia.org/wiki/Christof_Kuhbandner', 'https://de.wikipedia.org/wiki/Werner_Müller_(Wirtschaftswissenschaftler)', 'https://de.wikipedia.org/wiki/Bodo_Schiffmann', 'https://en.wikipedia.org/wiki/Harald_Walach', 'https://en.wikipedia.org/wiki/Wolfgang_Wodarg', 'https://en.wikipedia.org/wiki/Wolfgang_Wodarg', 'https://en.wikipedia.org/wiki/Jens_Spahn', 'https://en.wikipedia.org/wiki/Boris_Pistorius', 'https://en.wikipedia.org/wiki/Christine_Lambrecht', 'https://de.wikipedia.org/wiki/Landeskriminalamt_Nordrhein-Westfalen']","['/wiki/Bild', '/wiki/Preprint', '/wiki/Christian_Drosten', 'https://de.wikipedia.org/wiki/Rachenraum', '/wiki/Sucharit_Bhakdi', '/wiki/Stefan_Homburg', 'https://de.wikipedia.org/wiki/Christof_Kuhbandner', 'https://de.wikipedia.org/wiki/Werner_Müller_(Wirtschaftswissenschaftler)', 'https://de.wikipedia.org/wiki/Bodo_Schiffmann', '/wiki/Harald_Walach', '/wiki/Wolfgang_Wodarg', '/wiki/Wolfgang_Wodarg', '/wiki/Jens_Spahn', '/wiki/Boris_Pistorius', '/wiki/Christine_Lambrecht', 'https://de.wikipedia.org/wiki/Landeskriminalamt_Nordrhein-Westfalen']"
Österreich,Österreich,Antiwissenschaftliche Fehlinformationen,['/wiki/Andreas_Sönnichsen'],['https://de.wikipedia.org/wiki/Andreas_Sönnichsen'],Anti -science misinformation,Austria,Austria,['https://de.wikipedia.org/wiki/Andreas_Sönnichsen'],['https://de.wikipedia.org/wiki/Andreas_Sönnichsen']
Vereinigte Staaten,Vereinigte Staaten,Antiwissenschaftliche Fehlinformationen,"['/wiki/Neokonservatismus', '/wiki/COVID-19-Pandemie#Statistische_Schätzungen_und_Simulationsstudien', '/wiki/Globale_Erwärmung', '/wiki/Harvard_University']","['https://de.wikipedia.org/wiki/Neokonservatismus', 'https://de.wikipedia.org/wiki/COVID-19-Pandemie#Statistische_Schätzungen_und_Simulationsstudien', 'https://de.wikipedia.org/wiki/Globale_Erwärmung', 'https://de.wikipedia.org/wiki/Harvard_University']",Anti -science misinformation,United States,United States,"['https://en.wikipedia.org/wiki/Neoconservatism', 'https://en.wikipedia.org/wiki/COVID-19_pandemic', 'https://en.wikipedia.org/wiki/Climate_change', 'https://en.wikipedia.org/wiki/Harvard_University']","['/wiki/Neoconservatism', '/wiki/COVID-19_pandemic', '/wiki/Climate_change', '/wiki/Harvard_University']"
Alkohol und Methanol,Alkohol und Methanol,Falschinformationen zu Schutz- und Heilmitteln,"['/wiki/Whiskey', '/wiki/Honig', '/wiki/Händedesinfektionsmittel', '/wiki/Alkohole', '/wiki/Iran', '/wiki/COVID-19-Pandemie_im_Iran', '/wiki/Alkoholkonsum', '/wiki/Ethanol', '/wiki/Methanol', '/wiki/Alkoholvergiftung', '/wiki/Alkoholverbot_im_Islam', '/wiki/Brennen_(Spirituosen)', '/wiki/Nairobi_County', '/wiki/Cognac_(Weinbrand)', '/wiki/Amref_Health_Africa']","['https://de.wikipedia.org/wiki/Whiskey', 'https://de.wikipedia.org/wiki/Honig', 'https://de.wikipedia.org/wiki/Händedesinfektionsmittel', 'https://de.wikipedia.org/wiki/Alkohole', 'https://de.wikipedia.org/wiki/Iran', 'https://de.wikipedia.org/wiki/COVID-19-Pandemie_im_Iran', 'https://de.wikipedia.org/wiki/Alkoholkonsum', 'https://de.wikipedia.org/wiki/Ethanol', 'https://de.wikipedia.org/wiki/Methanol', 'https://de.wikipedia.org/wiki/Alkoholvergiftung', 'https://de.wikipedia.org/wiki/Alkoholverbot_im_Islam', 'https://de.wikipedia.org/wiki/Brennen_(Spirituosen)', 'https://de.wikipedia.org/wiki/Nairobi_County', 'https://de.wikipedia.org/wiki/Cognac_(Weinbrand)', 'https://de.wikipedia.org/wiki/Amref_Health_Africa']",False information on protection and remedies,Alcohol and methanol,Alcohol and methanol,"['https://de.wikipedia.org/wiki/Whiskey', 'https://en.wikipedia.org/wiki/Honey', 'https://en.wikipedia.org/wiki/Hand_sanitizer', 'https://en.wikipedia.org/wiki/Alcohol_%28chemistry%29', 'https://en.wikipedia.org/wiki/Iran', 'https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Iran', 'https://de.wikipedia.org/wiki/Alkoholkonsum', 'https://en.wikipedia.org/wiki/Ethanol', 'https://en.wikipedia.org/wiki/Methanol', 'https://en.wikipedia.org/wiki/Alcohol_intoxication', 'https://en.wikipedia.org/wiki/Khamr', 'https://de.wikipedia.org/wiki/Brennen_(Spirituosen)', 'https://en.wikipedia.org/wiki/Nairobi_City_County', 'https://en.wikipedia.org/wiki/Cognac', 'https://en.wikipedia.org/wiki/Amref_Health_Africa']","['https://de.wikipedia.org/wiki/Whiskey', '/wiki/Honey', '/wiki/Hand_sanitizer', '/wiki/Alcohol_%28chemistry%29', '/wiki/Iran', '/wiki/COVID-19_pandemic_in_Iran', 'https://de.wikipedia.org/wiki/Alkoholkonsum', '/wiki/Ethanol', '/wiki/Methanol', '/wiki/Alcohol_intoxication', '/wiki/Khamr', 'https://de.wikipedia.org/wiki/Brennen_(Spirituosen)', '/wiki/Nairobi_City_County', '/wiki/Cognac', '/wiki/Amref_Health_Africa']"
Homöopathie,Homöopathie,Falschinformationen zu Schutz- und Heilmitteln,"['/wiki/Homöopathie', '/wiki/Urban_Wiesing', '/wiki/Wien', '/wiki/Nosode', '/wiki/Globuli', '/wiki/Österreichische_Apothekerkammer', '/wiki/Indien', '/wiki/Naturheilkunde', '/wiki/Homöopathie', '/wiki/Potenzieren_(Homöopathie)', '/wiki/Arsenik']","['https://de.wikipedia.org/wiki/Homöopathie', 'https://de.wikipedia.org/wiki/Urban_Wiesing', 'https://de.wikipedia.org/wiki/Wien', 'https://de.wikipedia.org/wiki/Nosode', 'https://de.wikipedia.org/wiki/Globuli', 'https://de.wikipedia.org/wiki/Österreichische_Apothekerkammer', 'https://de.wikipedia.org/wiki/Indien', 'https://de.wikipedia.org/wiki/Naturheilkunde', 'https://de.wikipedia.org/wiki/Homöopathie', 'https://de.wikipedia.org/wiki/Potenzieren_(Homöopathie)', 'https://de.wikipedia.org/wiki/Arsenik']",False information on protection and remedies,homeopathy,homeopathy,"['https://en.wikipedia.org/wiki/Homeopathy', 'https://de.wikipedia.org/wiki/Urban_Wiesing', 'https://en.wikipedia.org/wiki/Vienna', 'https://de.wikipedia.org/wiki/Nosode', 'https://de.wikipedia.org/wiki/Globuli', 'https://de.wikipedia.org/wiki/Österreichische_Apothekerkammer', 'https://en.wikipedia.org/wiki/India', 'https://en.wikipedia.org/wiki/Naturopathy', 'https://en.wikipedia.org/wiki/Homeopathy', 'https://en.wikipedia.org/wiki/Homeopathic_dilutions', 'https://de.wikipedia.org/wiki/Arsenik']","['/wiki/Homeopathy', 'https://de.wikipedia.org/wiki/Urban_Wiesing', '/wiki/Vienna', 'https://de.wikipedia.org/wiki/Nosode', 'https://de.wikipedia.org/wiki/Globuli', 'https://de.wikipedia.org/wiki/Österreichische_Apothekerkammer', '/wiki/India', '/wiki/Naturopathy', '/wiki/Homeopathy', '/wiki/Homeopathic_dilutions', 'https://de.wikipedia.org/wiki/Arsenik']"
Bleich- und Desinfektionsmittel,Bleich- und Desinfektionsmittel,Falschinformationen zu Schutz- und Heilmitteln,"['/wiki/Bleichmittel', '/wiki/Influencer', '/wiki/Chlordioxid#Missbräuchliche_Verwendung', '/wiki/Krebs_(Medizin)', '/wiki/Natriumchlorit#Missbräuchliche_Verwendung', '/wiki/Vereinigte_Staaten', '/wiki/QAnon', '/wiki/Jim_Humble', '/wiki/Südamerika', '/wiki/Sekte', '/wiki/Kolloidales_Silber', '/wiki/Florida', '/wiki/AIDS', '/wiki/Autismus', '/wiki/Malaria', '/wiki/Präsident_der_Vereinigten_Staaten', '/wiki/Donald_Trump', '/wiki/Weißes_Haus', '/wiki/Alan_Keyes', '/wiki/Barack_Obama', '/wiki/Natural_born_citizen#Über_Barack_Obama', '/wiki/Suizid', '/wiki/University_of_East_Anglia', '/wiki/Robert_B._Reich', '/wiki/Lysol', '/wiki/Environmental_Protection_Agency', '/wiki/Washington_(Bundesstaat)', '/wiki/Maryland', '/wiki/Illinois']","['https://de.wikipedia.org/wiki/Bleichmittel', 'https://de.wikipedia.org/wiki/Influencer', 'https://de.wikipedia.org/wiki/Chlordioxid#Missbräuchliche_Verwendung', 'https://de.wikipedia.org/wiki/Krebs_(Medizin)', 'https://de.wikipedia.org/wiki/Natriumchlorit#Missbräuchliche_Verwendung', 'https://de.wikipedia.org/wiki/Vereinigte_Staaten', 'https://de.wikipedia.org/wiki/QAnon', 'https://de.wikipedia.org/wiki/Jim_Humble', 'https://de.wikipedia.org/wiki/Südamerika', 'https://de.wikipedia.org/wiki/Sekte', 'https://de.wikipedia.org/wiki/Kolloidales_Silber', 'https://de.wikipedia.org/wiki/Florida', 'https://de.wikipedia.org/wiki/AIDS', 'https://de.wikipedia.org/wiki/Autismus', 'https://de.wikipedia.org/wiki/Malaria', 'https://de.wikipedia.org/wiki/Präsident_der_Vereinigten_Staaten', 'https://de.wikipedia.org/wiki/Donald_Trump', 'https://de.wikipedia.org/wiki/Weißes_Haus', 'https://de.wikipedia.org/wiki/Alan_Keyes', 'https://de.wikipedia.org/wiki/Barack_Obama', 'https://de.wikipedia.org/wiki/Natural_born_citizen#Über_Barack_Obama', 'https://de.wikipedia.org/wiki/Suizid', 'https://de.wikipedia.org/wiki/University_of_East_Anglia', 'https://de.wikipedia.org/wiki/Robert_B._Reich', 'https://de.wikipedia.org/wiki/Lysol', 'https://de.wikipedia.org/wiki/Environmental_Protection_Agency', 'https://de.wikipedia.org/wiki/Washington_(Bundesstaat)', 'https://de.wikipedia.org/wiki/Maryland', 'https://de.wikipedia.org/wiki/Illinois']",False information on protection and remedies,Bleach and disinfectant,Bleach and disinfectant,"['https://de.wikipedia.org/wiki/Bleichmittel', 'https://en.wikipedia.org/wiki/Influencer', 'https://en.wikipedia.org/wiki/Chlorine_dioxide', 'https://en.wikipedia.org/wiki/Cancer', 'https://en.wikipedia.org/wiki/Sodium_chlorite', 'https://en.wikipedia.org/wiki/United_States', 'https://en.wikipedia.org/wiki/QAnon', 'https://de.wikipedia.org/wiki/Jim_Humble', 'https://en.wikipedia.org/wiki/South_America', 'https://en.wikipedia.org/wiki/Sect', 'https://de.wikipedia.org/wiki/Kolloidales_Silber', 'https://en.wikipedia.org/wiki/Florida', 'https://en.wikipedia.org/wiki/HIV/AIDS', 'https://en.wikipedia.org/wiki/Autism', 'https://en.wikipedia.org/wiki/Malaria', 'https://en.wikipedia.org/wiki/President_of_the_United_States', 'https://en.wikipedia.org/wiki/Donald_Trump', 'https://en.wikipedia.org/wiki/White_House', 'https://en.wikipedia.org/wiki/Alan_Keyes', 'https://en.wikipedia.org/wiki/Barack_Obama', 'https://en.wikipedia.org/wiki/Natural-born-citizen_clause_%28United_States%29', 'https://en.wikipedia.org/wiki/Suicide', 'https://en.wikipedia.org/wiki/University_of_East_Anglia', 'https://en.wikipedia.org/wiki/Robert_Reich', 'https://en.wikipedia.org/wiki/Lysol', 'https://en.wikipedia.org/wiki/United_States_Environmental_Protection_Agency', 'https://en.wikipedia.org/wiki/Washington_%28state%29', 'https://en.wikipedia.org/wiki/Maryland', 'https://en.wikipedia.org/wiki/Illinois']","['https://de.wikipedia.org/wiki/Bleichmittel', '/wiki/Influencer', '/wiki/Chlorine_dioxide', '/wiki/Cancer', '/wiki/Sodium_chlorite', '/wiki/United_States', '/wiki/QAnon', 'https://de.wikipedia.org/wiki/Jim_Humble', '/wiki/South_America', '/wiki/Sect', 'https://de.wikipedia.org/wiki/Kolloidales_Silber', '/wiki/Florida', '/wiki/HIV/AIDS', '/wiki/Autism', '/wiki/Malaria', '/wiki/President_of_the_United_States', '/wiki/Donald_Trump', '/wiki/White_House', '/wiki/Alan_Keyes', '/wiki/Barack_Obama', '/wiki/Natural-born-citizen_clause_%28United_States%29', '/wiki/Suicide', '/wiki/University_of_East_Anglia', '/wiki/Robert_Reich', '/wiki/Lysol', '/wiki/United_States_Environmental_Protection_Agency', '/wiki/Washington_%28state%29', '/wiki/Maryland', '/wiki/Illinois']"
Chloroquin und Azithromycin,Chloroquin und Azithromycin,Falschinformationen zu Schutz- und Heilmitteln,"['/wiki/Chloroquin', '/wiki/Azithromycin', '/wiki/Food_and_Drug_Administration', '/wiki/Immunologie', '/wiki/Anthony_Fauci', '/wiki/Nigeria', '/wiki/Arizona', '/wiki/Vorbeugung', '/wiki/Zierfisch', '/wiki/Antiparasitikum', '/wiki/Ministerium_für_Innere_Sicherheit_der_Vereinigten_Staaten', '/wiki/Tea-Party-Bewegung', '/wiki/COVID-19', '/wiki/Centers_for_Disease_Control_and_Prevention']","['https://de.wikipedia.org/wiki/Chloroquin', 'https://de.wikipedia.org/wiki/Azithromycin', 'https://de.wikipedia.org/wiki/Food_and_Drug_Administration', 'https://de.wikipedia.org/wiki/Immunologie', 'https://de.wikipedia.org/wiki/Anthony_Fauci', 'https://de.wikipedia.org/wiki/Nigeria', 'https://de.wikipedia.org/wiki/Arizona', 'https://de.wikipedia.org/wiki/Vorbeugung', 'https://de.wikipedia.org/wiki/Zierfisch', 'https://de.wikipedia.org/wiki/Antiparasitikum', 'https://de.wikipedia.org/wiki/Ministerium_für_Innere_Sicherheit_der_Vereinigten_Staaten', 'https://de.wikipedia.org/wiki/Tea-Party-Bewegung', 'https://de.wikipedia.org/wiki/COVID-19', 'https://de.wikipedia.org/wiki/Centers_for_Disease_Control_and_Prevention']",False information on protection and remedies,Chloroquin und Azithromycin,Chloroquin und Azithromycin,"['https://en.wikipedia.org/wiki/Chloroquine', 'https://en.wikipedia.org/wiki/Azithromycin', 'https://en.wikipedia.org/wiki/Food_and_Drug_Administration', 'https://en.wikipedia.org/wiki/Immunology', 'https://en.wikipedia.org/wiki/Anthony_Fauci', 'https://en.wikipedia.org/wiki/Nigeria', 'https://en.wikipedia.org/wiki/Arizona', 'https://de.wikipedia.org/wiki/Vorbeugung', 'https://de.wikipedia.org/wiki/Zierfisch', 'https://en.wikipedia.org/wiki/Antiparasitic', 'https://en.wikipedia.org/wiki/United_States_Department_of_Homeland_Security', 'https://en.wikipedia.org/wiki/Tea_Party_movement', 'https://en.wikipedia.org/wiki/COVID-19', 'https://en.wikipedia.org/wiki/Centers_for_Disease_Control_and_Prevention']","['/wiki/Chloroquine', '/wiki/Azithromycin', '/wiki/Food_and_Drug_Administration', '/wiki/Immunology', '/wiki/Anthony_Fauci', '/wiki/Nigeria', '/wiki/Arizona', 'https://de.wikipedia.org/wiki/Vorbeugung', 'https://de.wikipedia.org/wiki/Zierfisch', '/wiki/Antiparasitic', '/wiki/United_States_Department_of_Homeland_Security', '/wiki/Tea_Party_movement', '/wiki/COVID-19', '/wiki/Centers_for_Disease_Control_and_Prevention']"
Heißluft,Heißluft,Falschinformationen zu Schutz- und Heilmitteln,"['/wiki/Haartrockner', '/wiki/Futurologie', '/wiki/Centers_for_Disease_Control_and_Prevention', '/wiki/Okeechobee_County', '/wiki/Florida', '/wiki/One_America_News_Network']","['https://de.wikipedia.org/wiki/Haartrockner', 'https://de.wikipedia.org/wiki/Futurologie', 'https://de.wikipedia.org/wiki/Centers_for_Disease_Control_and_Prevention', 'https://de.wikipedia.org/wiki/Okeechobee_County', 'https://de.wikipedia.org/wiki/Florida', 'https://de.wikipedia.org/wiki/One_America_News_Network']",False information on protection and remedies,Hot air,Hot air,"['https://en.wikipedia.org/wiki/Hair_dryer', 'https://de.wikipedia.org/wiki/Futurologie', 'https://en.wikipedia.org/wiki/Centers_for_Disease_Control_and_Prevention', 'https://en.wikipedia.org/wiki/Okeechobee_County%2C_Florida', 'https://en.wikipedia.org/wiki/Florida', 'https://en.wikipedia.org/wiki/One_America_News_Network']","['/wiki/Hair_dryer', 'https://de.wikipedia.org/wiki/Futurologie', '/wiki/Centers_for_Disease_Control_and_Prevention', '/wiki/Okeechobee_County%2C_Florida', '/wiki/Florida', '/wiki/One_America_News_Network']"
Ivermectin,Ivermectin,Falschinformationen zu Schutz- und Heilmitteln,"['/wiki/Parasit', '/wiki/Ivermectin', '/wiki/Tiermedizin', '/wiki/Südafrika', '/wiki/Giftnotrufzentrale']","['https://de.wikipedia.org/wiki/Parasit', 'https://de.wikipedia.org/wiki/Ivermectin', 'https://de.wikipedia.org/wiki/Tiermedizin', 'https://de.wikipedia.org/wiki/Südafrika', 'https://de.wikipedia.org/wiki/Giftnotrufzentrale']",False information on protection and remedies,Ivermectin,Ivermectin,"['https://de.wikipedia.org/wiki/Parasit', 'https://en.wikipedia.org/wiki/Ivermectin', 'https://en.wikipedia.org/wiki/Veterinary_medicine', 'https://en.wikipedia.org/wiki/South_Africa', 'https://de.wikipedia.org/wiki/Giftnotrufzentrale']","['https://de.wikipedia.org/wiki/Parasit', '/wiki/Ivermectin', '/wiki/Veterinary_medicine', '/wiki/South_Africa', 'https://de.wikipedia.org/wiki/Giftnotrufzentrale']"
Knoblauch und Zwiebeln,Knoblauch und Zwiebeln,Falschinformationen zu Schutz- und Heilmitteln,"['/wiki/Volksrepublik_China', '/wiki/Knoblauch', '/wiki/Zwiebel', '/wiki/Carmen_Geiss', '/wiki/Mimikama']","['https://de.wikipedia.org/wiki/Volksrepublik_China', 'https://de.wikipedia.org/wiki/Knoblauch', 'https://de.wikipedia.org/wiki/Zwiebel', 'https://de.wikipedia.org/wiki/Carmen_Geiss', 'https://de.wikipedia.org/wiki/Mimikama']",False information on protection and remedies,Garlic and onions,Garlic and onions,"['https://en.wikipedia.org/wiki/China', 'https://en.wikipedia.org/wiki/Garlic', 'https://en.wikipedia.org/wiki/Onion', 'https://de.wikipedia.org/wiki/Carmen_Geiss', 'https://en.wikipedia.org/wiki/Mimikama']","['/wiki/China', '/wiki/Garlic', '/wiki/Onion', 'https://de.wikipedia.org/wiki/Carmen_Geiss', '/wiki/Mimikama']"
Zistrosenextrakt,Zistrosenextrakt,Falschinformationen zu Schutz- und Heilmitteln,"['/wiki/Wochenblick', '/wiki/Zistrosen', '/wiki/In_vitro', '/wiki/In_vivo']","['https://de.wikipedia.org/wiki/Wochenblick', 'https://de.wikipedia.org/wiki/Zistrosen', 'https://de.wikipedia.org/wiki/In_vitro', 'https://de.wikipedia.org/wiki/In_vivo']",False information on protection and remedies,Zistrosenextrakt,Zistrosenextrakt,"['https://en.wikipedia.org/wiki/Wochenblick', 'https://en.wikipedia.org/wiki/Cistus', 'https://en.wikipedia.org/wiki/In_vitro', 'https://en.wikipedia.org/wiki/In_vivo']","['/wiki/Wochenblick', '/wiki/Cistus', '/wiki/In_vitro', '/wiki/In_vivo']"
Traditionelle Medizin,Traditionelle Medizin,Falschinformationen zu Schutz- und Heilmitteln,"['/wiki/Hinduismus', '/wiki/Indien', '/wiki/Nationalismus', '/wiki/Bharatiya_Janata_Party', '/wiki/Traditionelle_chinesische_Medizin', '/wiki/Xi_Jinping', '/wiki/SARS-Pandemie_2002/2003', '/wiki/Laurie_Garrett', '/wiki/Nature', '/wiki/Yale_University']","['https://de.wikipedia.org/wiki/Hinduismus', 'https://de.wikipedia.org/wiki/Indien', 'https://de.wikipedia.org/wiki/Nationalismus', 'https://de.wikipedia.org/wiki/Bharatiya_Janata_Party', 'https://de.wikipedia.org/wiki/Traditionelle_chinesische_Medizin', 'https://de.wikipedia.org/wiki/Xi_Jinping', 'https://de.wikipedia.org/wiki/SARS-Pandemie_2002/2003', 'https://de.wikipedia.org/wiki/Laurie_Garrett', 'https://de.wikipedia.org/wiki/Nature', 'https://de.wikipedia.org/wiki/Yale_University']",False information on protection and remedies,Traditional medicine,Traditional medicine,"['https://en.wikipedia.org/wiki/Hinduism', 'https://en.wikipedia.org/wiki/India', 'https://en.wikipedia.org/wiki/Nationalism', 'https://en.wikipedia.org/wiki/Bharatiya_Janata_Party', 'https://en.wikipedia.org/wiki/Traditional_Chinese_medicine', 'https://en.wikipedia.org/wiki/Xi_Jinping', 'https://en.wikipedia.org/wiki/2003', 'https://en.wikipedia.org/wiki/Laurie_Garrett', 'https://en.wikipedia.org/wiki/Nature_%28journal%29', 'https://en.wikipedia.org/wiki/Yale_University']","['/wiki/Hinduism', '/wiki/India', '/wiki/Nationalism', '/wiki/Bharatiya_Janata_Party', '/wiki/Traditional_Chinese_medicine', '/wiki/Xi_Jinping', '/wiki/2003', '/wiki/Laurie_Garrett', '/wiki/Nature_%28journal%29', '/wiki/Yale_University']"
Vitamin D,Vitamin D,Ungenaue oder unbelegte Informationen über Nahrungsergänzungsmittel,"['/wiki/Vitamin_D', '/wiki/The_Lancet', '/wiki/Deutsche_Apothekerzeitung', '/wiki/Korrelation', '/wiki/Hypervitaminose_D', '/wiki/Hyperkalzämie', '/wiki/Osteoporose', '/wiki/Evidenzbasierte_Medizin', '/wiki/BBC', '/wiki/National_Health_Service', '/wiki/Cholecalciferol', '/wiki/Supplementation']","['https://de.wikipedia.org/wiki/Vitamin_D', 'https://de.wikipedia.org/wiki/The_Lancet', 'https://de.wikipedia.org/wiki/Deutsche_Apothekerzeitung', 'https://de.wikipedia.org/wiki/Korrelation', 'https://de.wikipedia.org/wiki/Hypervitaminose_D', 'https://de.wikipedia.org/wiki/Hyperkalzämie', 'https://de.wikipedia.org/wiki/Osteoporose', 'https://de.wikipedia.org/wiki/Evidenzbasierte_Medizin', 'https://de.wikipedia.org/wiki/BBC', 'https://de.wikipedia.org/wiki/National_Health_Service', 'https://de.wikipedia.org/wiki/Cholecalciferol', 'https://de.wikipedia.org/wiki/Supplementation']",Inaccurate or unoccupied information about dietary supplements,Vitamin D,Vitamin D,"['https://en.wikipedia.org/wiki/Vitamin_D', 'https://en.wikipedia.org/wiki/The_Lancet', 'https://de.wikipedia.org/wiki/Deutsche_Apothekerzeitung', 'https://en.wikipedia.org/wiki/Correlation', 'https://en.wikipedia.org/wiki/Vitamin_D_toxicity', 'https://en.wikipedia.org/wiki/Hypercalcaemia', 'https://en.wikipedia.org/wiki/Osteoporosis', 'https://en.wikipedia.org/wiki/Evidence-based_medicine', 'https://de.wikipedia.org/wiki/BBC', 'https://en.wikipedia.org/wiki/National_Health_Service', 'https://en.wikipedia.org/wiki/Cholecalciferol', 'https://de.wikipedia.org/wiki/Supplementation']","['/wiki/Vitamin_D', '/wiki/The_Lancet', 'https://de.wikipedia.org/wiki/Deutsche_Apothekerzeitung', '/wiki/Correlation', '/wiki/Vitamin_D_toxicity', '/wiki/Hypercalcaemia', '/wiki/Osteoporosis', '/wiki/Evidence-based_medicine', 'https://de.wikipedia.org/wiki/BBC', '/wiki/National_Health_Service', '/wiki/Cholecalciferol', 'https://de.wikipedia.org/wiki/Supplementation']"
Andere Nahrungsergänzungsmittel,Andere Nahrungsergänzungsmittel,Ungenaue oder unbelegte Informationen über Nahrungsergänzungsmittel,"['/wiki/Vitamin_C', '/wiki/Zink']","['https://de.wikipedia.org/wiki/Vitamin_C', 'https://de.wikipedia.org/wiki/Zink']",Inaccurate or unoccupied information about dietary supplements,Other nutritional supplements,Other nutritional supplements,"['https://en.wikipedia.org/wiki/Vitamin_C', 'https://en.wikipedia.org/wiki/Zinc']","['/wiki/Vitamin_C', '/wiki/Zinc']"
