Sub-subheading,Subheading,Main Heading,Links,clean_articles
In the United States,Jewish origin,Virus origin,['/wiki/Federal_Bureau_of_Investigation'],['']
In Germany,Jewish origin,Virus origin,"['/wiki/Reichsb%C3%BCrger_movement', '/wiki/2022_German_coup_d%27%C3%A9tat_plot', '/wiki/Karl_Lauterbach']",['Karl_Lauterbach']
In Britain,Jewish origin,Virus origin,['/wiki/University_of_Oxford'],['University_of_Oxford']
Muslims spreading virus,Muslims spreading virus,Virus origin,"['/wiki/2020_Tablighi_Jamaat_coronavirus_hotspot_in_Delhi', '/wiki/Tablighi_Jamaat', '/wiki/Patna']",['']
Population-control scheme,Population-control scheme,Virus origin,"['/wiki/List_of_conspiracy_theories#RFID_chips', '/wiki/YouTuber', '/wiki/QAnon', '/wiki/Anti-vaccine_activism', '/wiki/Pirbright_Institute', '/wiki/Microsoft', '/wiki/Bill_Gates', '/wiki/Piers_Corbyn', '/wiki/Hilary_Jones_(doctor)', '/wiki/Good_Morning_Britain_(2014_TV_programme)']","['YouTuber', 'Microsoft', 'Good_Morning_Britain_(2014_TV_programme)']"
5G,5G,Virus origin,"['/wiki/Wireless_device_radiation_and_health', '/wiki/Openreach', '/wiki/5G', '/wiki/Alternative_medicine', '/wiki/Medical_Board_of_California', '/wiki/COVID-19_pandemic_in_Africa', '/wiki/Cell_(biology)', '/wiki/Woody_Harrelson', '/wiki/John_Cusack', '/wiki/Keri_Hilson', '/wiki/Internet_Research_Agency', '/wiki/Saint_Petersburg,_Russia', '/wiki/Reuters', '/wiki/USA_Today', '/wiki/Full_Fact', '/wiki/American_Public_Health_Association', '/wiki/Georges_C._Benjamin', '/wiki/Mark_Steele_(conspiracy_theorist)', '/wiki/Kate_Shemirani', '/wiki/General_Medical_Council', '/wiki/NHS_England', '/wiki/Radio_wave', '/wiki/Dagenham', '/wiki/Huddersfield', '/wiki/NHS_Nightingale_Hospital_Birmingham', '/wiki/Garda_S%C3%ADoch%C3%A1na', '/wiki/County_Donegal', '/wiki/Michael_Gove', '/wiki/Vodafone_UK', '/wiki/O2_(UK)', '/wiki/Openreach', '/wiki/British_Telecom', '/wiki/David_Icke', '/wiki/Vimeo', '/wiki/London_Live_(TV_channel)', '/wiki/Ofcom', '/wiki/ITV_(TV_channel)', '/wiki/Eamonn_Holmes', '/wiki/This_Morning_(TV_programme)', '/wiki/The_Guardian', '/wiki/Luton', '/wiki/Bank_of_England', '/wiki/Bank_of_England_%C2%A320_note', '/wiki/SARS-CoV-2', '/wiki/Fact_checking', '/wiki/Margate_Lighthouse', '/wiki/Tate_Britain']","['Openreach', 'Alternative_medicine', 'Medical_Board_of_California', 'COVID-19_pandemic_in_Africa', 'Cell_(biology)', 'Saint_Petersburg', 'Reuters', 'Full_Fact', 'American_Public_Health_Association', 'General_Medical_Council', 'NHS_England', 'Radio_wave', 'Huddersfield', 'NHS_Nightingale_Hospital_Birmingham', 'County_Donegal', 'Vodafone_UK', 'Openreach', 'British_Telecom', 'Vimeo', 'Ofcom', 'ITV_(TV_channel)', 'Eamonn_Holmes', 'The_Guardian', 'Luton', 'Bank_of_England', 'SARS-CoV-2', 'Margate_Lighthouse', 'Tate_Britain']"
American scientist selling virus to China,American scientist selling virus to China,Virus origin,"['/wiki/Charles_Lieber', '/wiki/Harvard_University', '/wiki/Reuters']","['Harvard_University', 'Reuters']"
Meteor origin,Meteor origin,Virus origin,"['/wiki/Edward_J._Steele', '/wiki/Chandra_Wickramasinghe', '/wiki/Panspermia', '/wiki/Meteorite', '/wiki/Songyuan', '/wiki/Astronomy.com']","['Chandra_Wickramasinghe', 'Panspermia', 'Songyuan', 'Astronomy.com']"
National Center for Medical Intelligence intelligence report,National Center for Medical Intelligence intelligence report,Virus origin,"['/wiki/ABC_News', '/wiki/National_Center_for_Medical_Intelligence', '/wiki/Reverse_transcription_polymerase_chain_reaction', '/wiki/Kary_Mullis', '/wiki/Polymerase_chain_reaction', '/wiki/COVID-19_testing', '/wiki/Nobel_Prize_in_Chemistry', '/wiki/Federal_Office_of_Public_Health', '/wiki/Agence_France-Presse', '/wiki/National_Institute_of_Molecular_Biology_and_Biotechnology', '/wiki/Daily_Mail', '/wiki/The_Sun_(United_Kingdom)', '/wiki/Shenzhen']","['ABC_News', 'Reverse_transcription_polymerase_chain_reaction', 'Kary_Mullis', 'Polymerase_chain_reaction', 'Nobel_Prize_in_Chemistry', 'Federal_Office_of_Public_Health', 'Agence_France-Presse', 'National_Institute_of_Molecular_Biology_and_Biotechnology', 'Daily_Mail', 'The_Sun_(United_Kingdom)', 'Shenzhen']"
Chinese under-reporting during early 2020,In China,Incidence and mortality,['/wiki/CNN'],['CNN']
Nurse whistleblower,In China,Incidence and mortality,"['/wiki/Hubei', '/wiki/R_number']","['Hubei', 'R_number']"
Alleged leak of death toll by Tencent,In China,Incidence and mortality,"['/wiki/Taiwan_News', '/wiki/Tencent', '/wiki/Netizen', '/wiki/Daily_Mail', '/wiki/WION_(TV_channel)']","['Netizen', 'Daily_Mail', 'WION_(TV_channel)']"
Mass cremation in Wuhan,In China,Incidence and mortality,"['/wiki/Daily_Express', '/wiki/Daily_Mail', '/wiki/Taiwan_News', '/wiki/Snopes', '/wiki/Sulfur_dioxide', '/wiki/The_Epoch_Times', '/wiki/COVID-19_pandemic', '/wiki/Agence_France-Presse']","['Daily_Mail', 'Agence_France-Presse']"
Decline in cellphone subscriptions,In China,Incidence and mortality,"['/wiki/Social_impact_of_the_COVID-19_pandemic', '/wiki/Economic_impact_of_the_COVID-19_pandemic']","['Social_impact_of_the_COVID-19_pandemic', 'Economic_impact_of_the_COVID-19_pandemic']"
In the US,In the US,Incidence and mortality,"['/wiki/Fax', '/wiki/Contact_tracing', '/wiki/Case_finding']","['Contact_tracing', 'Case_finding']"
Allegations of inflated death counts,In the US,Incidence and mortality,"['/wiki/Conspiracy_theory', '/wiki/Centers_for_Disease_Control_and_Prevention', '/wiki/National_Vital_Statistics_System', '/wiki/Mortality_displacement', '/wiki/FactCheck.org']","['Conspiracy_theory', 'Centers_for_Disease_Control_and_Prevention', 'National_Vital_Statistics_System', 'FactCheck.org']"
Misleading Johns Hopkins News-Letter article,In the US,Incidence and mortality,['/wiki/The_Johns_Hopkins_News-Letter'],['']
Misinformation targeting Taiwan,Misinformation targeting Taiwan,Incidence and mortality,"['/wiki/Cross-Strait_relations', '/wiki/Central_News_Agency_(Republic_of_China)', '/wiki/COVID-19_pandemic_in_Taiwan', '/wiki/Tsai_Ing-wen', '/wiki/Mainland_China', '/wiki/Simplified_Chinese_characters', '/wiki/Ministry_of_Justice_Investigation_Bureau', '/wiki/Taiwan_Affairs_Office', '/wiki/Democratic_Progressive_Party', '/wiki/The_Washington_Post', '/wiki/Institute_for_the_Future', '/wiki/Great_Firewall', '/wiki/American_Institute_in_Taiwan']","['Cross-Strait_relations', 'Central_News_Agency_(Republic_of_China)', 'COVID-19_pandemic_in_Taiwan', 'Simplified_Chinese_characters', 'Ministry_of_Justice_Investigation_Bureau', 'Taiwan_Affairs_Office', 'The_Washington_Post', 'Great_Firewall', 'American_Institute_in_Taiwan']"
Misrepresented World Population Project map,Misrepresented World Population Project map,Incidence and mortality,['/wiki/University_of_Southampton'],['University_of_Southampton']
"""Casedemic""","""Casedemic""",Incidence and mortality,"['/wiki/COVID-19_denial', '/wiki/Anti-vaccination', '/wiki/David_Gorski', '/wiki/Joseph_Mercola', '/wiki/Polymerase_chain_reaction', '/wiki/Transmission_of_COVID-19#Asymptomatic_transmission', '/wiki/Respiratory_droplet']","['Anti-vaccination', 'Joseph_Mercola', 'Polymerase_chain_reaction', 'Respiratory_droplet']"
California herd immunity in 2019,California herd immunity in 2019,Disease spread,['/wiki/Victor_Davis_Hanson'],['Victor_Davis_Hanson']
Patient Zero,Patient Zero,Disease spread,"['/wiki/Index_case', '/wiki/2019_Military_World_Games', '/wiki/Benny_Benassi']","['Index_case', '2019_Military_World_Games']"
Airborne,Airborne,Disease spread,"['/wiki/World_Health_Organization', '/wiki/Tedros_Adhanom_Ghebreyesus', '/wiki/Lidia_Morawska']",['Tedros_Adhanom_Ghebreyesus']
Surfaces,Surfaces,Disease spread,"['/wiki/Fomite', '/wiki/Centers_for_Disease_Control_and_Prevention', '/wiki/Handwashing']","['Fomite', 'Centers_for_Disease_Control_and_Prevention']"
Susceptibility based on ethnicity,Susceptibility based on ethnicity,Disease spread,"['/wiki/Ethnicities', '/wiki/Zoonotic', '/wiki/Population_immunity', '/wiki/Mutahi_Kagwe', '/wiki/All_India_Institute_of_Medical_Sciences', '/wiki/Population_immunity', '/wiki/Supreme_Leader_of_Iran', '/wiki/Ali_Khamenei', '/wiki/COVID-19_pandemic_in_Iran']","['Zoonotic', 'Population_immunity', 'Mutahi_Kagwe', 'Population_immunity', 'COVID-19_pandemic_in_Iran']"
Xenophobic blaming by ethnicity and religion,Susceptibility based on ethnicity,Disease spread,"['/wiki/Xenophobia_and_racism_related_to_the_COVID-19_pandemic', '/wiki/Xenophobic', '/wiki/White_supremacist']","['Xenophobia_and_racism_related_to_the_COVID-19_pandemic', 'Xenophobic', 'White_supremacist']"
Bat soup,Bat soup,Disease spread,"['/wiki/Daily_Mail', '/wiki/RT_(TV_network)', '/wiki/Vlogger', '/wiki/Palau', '/wiki/Microblogging_in_China', '/wiki/Palauan_cuisine', '/wiki/Xenophobia_and_racism_related_to_the_COVID-19_pandemic']","['Daily_Mail', 'RT_(TV_network)', 'Vlogger', 'Palau', 'Microblogging_in_China', 'Xenophobia_and_racism_related_to_the_COVID-19_pandemic']"
Lifetime of the virus,Lifetime of the virus,Disease spread,['/wiki/COVID-19_lockdown_in_India#Janata_Curfew'],['']
Mosquitoes,Mosquitoes,Disease spread,['/wiki/Mosquito'],['Mosquito']
Contaminated objects,Contaminated objects,Disease spread,"['/wiki/Costco', '/wiki/Product_recall', '/wiki/Australia_Department_of_Health']","['Costco', 'Product_recall', 'Australia_Department_of_Health']"
Cruise ships as safe havens,Cruise ships as safe havens,Disease spread,"['/wiki/COVID-19_pandemic_on_cruise_ships', '/wiki/Caribbean', '/wiki/Mediterranean', '/wiki/Persian_Gulf', '/wiki/Miami_New_Times', '/wiki/Norwegian_Cruise_Line', '/wiki/Sic', '/wiki/COVID-19_pandemic_on_cruise_ships', '/wiki/Dubai', '/wiki/Climate_of_Dubai', '/wiki/Dubai_International_Airport', '/wiki/COVID-19_pandemic_in_the_United_Arab_Emirates']","['COVID-19_pandemic_on_cruise_ships', 'Caribbean', 'Miami_New_Times', 'Sic', 'COVID-19_pandemic_on_cruise_ships', 'Dubai_International_Airport', 'COVID-19_pandemic_in_the_United_Arab_Emirates']"
Breastfeeding,Breastfeeding,Disease spread,['/wiki/UNICEF'],['UNICEF']
Sexual transmission and infertility,Sexual transmission and infertility,Disease spread,"['/wiki/Semen', '/wiki/Human_reproductive_system', '/wiki/Ebolavirus', '/wiki/Zika_virus', '/wiki/Azoospermia', '/wiki/Oligospermia', '/wiki/Spermatogonium', '/wiki/List_of_unproven_methods_against_COVID-19', '/wiki/Face_masks_during_the_COVID-19_pandemic']","['Semen', 'Human_reproductive_system', 'Zika_virus', 'Azoospermia', 'Oligospermia', 'Spermatogonium', 'List_of_unproven_methods_against_COVID-19', 'Face_masks_during_the_COVID-19_pandemic']"
"Hand sanitizer, antibacterial soaps","Hand sanitizer, antibacterial soaps",Prevention,"['/wiki/Hand_sanitizer', '/wiki/Antibacterial_soap']",['Antibacterial_soap']
Public use of face masks,Public use of face masks,Prevention,"['/wiki/Face_masks_during_the_COVID-19_pandemic', '/wiki/U.S._Surgeon_General', '/wiki/Jerome_Adams', '/wiki/U.S._Surgeon_General', '/wiki/Jerome_Adams', '/wiki/Anthony_Fauci', '/wiki/White_House_Coronavirus_Task_Force', '/wiki/Neck_gaiter#2020', '/wiki/Neck_gaiter', '/wiki/Spandex', '/wiki/Warren_S._Warren', '/wiki/Hypoxemia', '/wiki/Hypercapnia', '/wiki/Antibiotic-resistant', '/wiki/Pneumonia', '/wiki/Americans_with_Disabilities_Act', '/wiki/United_States_Department_of_Justice']","['Face_masks_during_the_COVID-19_pandemic', 'White_House_Coronavirus_Task_Force', 'Neck_gaiter', 'Warren_S._Warren', 'Hypoxemia', 'Hypercapnia', 'Pneumonia', 'Americans_with_Disabilities_Act', 'United_States_Department_of_Justice']"
"Alcohol, tobacco, and other drugs","Alcohol, tobacco, and other drugs",Prevention,"['/wiki/Short-term_effects_of_alcohol_consumption', '/wiki/Long-term_effects_of_alcohol', '/wiki/Drinking_alcohol', '/wiki/Ethanol', '/wiki/Hand_sanitizer', '/wiki/Wood_alcohol', '/wiki/Ethanol#Denatured_alcohol', '/wiki/Isopropanol', '/wiki/Methanol', '/wiki/Methanol_toxicity', '/wiki/Alcohol_in_Iran', '/wiki/Bootleg_alcohol', '/wiki/Bootleg_alcohol#Safety', '/wiki/Associated_Press', '/wiki/Mike_Sonko', '/wiki/Hennessy', '/wiki/Tobacco_smoking', '/wiki/Tobacco_smoking', '/wiki/Transdermal', '/wiki/Nicotine', '/wiki/French_Ministry_of_Health', '/wiki/World_Health_Organization']","['Short-term_effects_of_alcohol_consumption', 'Long-term_effects_of_alcohol', 'Ethanol', 'Isopropanol', 'Bootleg_alcohol', 'Associated_Press', 'Hennessy', 'Tobacco_smoking', 'Tobacco_smoking', 'Transdermal', 'Nicotine', 'French_Ministry_of_Health']"
Warm or hot drinks,Warm or hot drinks,Prevention,"['/wiki/Alberto_Fern%C3%A1ndez', '/wiki/Oral_mucosa']",['Oral_mucosa']
Religious protection,Religious protection,Prevention,"['/wiki/River_of_Grace_Community_Church', '/wiki/Shincheonji_Church_of_Jesus', '/wiki/Daegu', '/wiki/John_Magufuli', '/wiki/Body_of_Christ', '/wiki/Church_of_Greece', '/wiki/Holy_Communion', '/wiki/Holy_Synod#The_Greek_Holy_Synod', '/wiki/Tablighi_Jamaat', '/wiki/Ijtema', '/wiki/2020_Tablighi_Jamaat_COVID-19_hotspot_in_Malaysia', '/wiki/2020_Tablighi_Jamaat_coronavirus_hotspot_in_Delhi', '/wiki/2020_Tablighi_Jamaat_coronavirus_hotspot_in_Pakistan', '/wiki/Fatima_Masumeh_Shrine', '/wiki/Somalia', '/wiki/Muslims']","['John_Magufuli', 'Body_of_Christ', 'Church_of_Greece', 'Holy_Communion', 'Ijtema', '2020_Tablighi_Jamaat_coronavirus_hotspot_in_Pakistan', 'Somalia', 'Muslims']"
Helicopter spraying,Helicopter spraying,Prevention,"['/wiki/Sri_Lanka', '/wiki/Philippines', '/wiki/India']","['Philippines', 'India']"
Food,Food,Prevention,"['/wiki/World_Health_Organization', '/wiki/Datura', '/wiki/TikTok', '/wiki/Vegetarian']","['Datura', 'Vegetarian']"
Vitamin D,Vitamin D,Prevention,"['/wiki/Vitamin_D#COVID-19', '/wiki/COVID-19_drug_repurposing_research#Vitamin_D', '/wiki/Vitamin_D', '/wiki/COVID-19_pandemic_in_Thailand', '/wiki/Intensive_care', '/wiki/National_Institute_for_Health_and_Care_Excellence', '/wiki/COVID-19_vaccine_misinformation_and_hesitancy', '/wiki/Misinformation_related_to_vaccination', '/wiki/Vaccine_hesitancy', '/wiki/London', '/wiki/Anti-vaccination', '/wiki/Conspiracy_theory', '/wiki/Misinformation', '/wiki/COVID-19_vaccine', '/wiki/Richard_Epstein', '/wiki/Hashtag', '/wiki/Hoax', '/wiki/List_of_unproven_methods_against_COVID-19']","['Vitamin_D', 'COVID-19_pandemic_in_Thailand', 'National_Institute_for_Health_and_Care_Excellence', 'Vaccine_hesitancy', 'London', 'Anti-vaccination', 'Conspiracy_theory', 'Misinformation', 'COVID-19_vaccine', 'Hoax', 'List_of_unproven_methods_against_COVID-19']"
Herbal treatments,Herbal treatments,Treatment,"['/wiki/Chinese_Academy_of_Sciences', '/wiki/Shuanghuanglian', '/wiki/Traditional_Chinese_medicine', '/wiki/Madagascar', '/wiki/Andry_Rajoelina', '/wiki/Artemisia_(genus)', '/wiki/Echinacea', '/wiki/Virucidal', '/wiki/Coronavirus', '/wiki/SARS-CoV-2', '/wiki/Cell_culture']","['Traditional_Chinese_medicine', 'Madagascar', 'Andry_Rajoelina', 'Artemisia_(genus)', 'Echinacea', 'Virucidal', 'SARS-CoV-2', 'Cell_culture']"
Vitamin C,Vitamin C,Treatment,"['/wiki/Vitamin_C#COVID-19', '/wiki/COVID-19_pandemic', '/wiki/Vitamin_C', '/wiki/Quackery']",['Vitamin_C']
Common cold and flu treatments,Common cold and flu treatments,Treatment,"['/wiki/Aspirin', '/wiki/Antihistamines', '/wiki/Coronavirus', '/wiki/Olivier_V%C3%A9ran', '/wiki/The_Lancet_Respiratory_Medicine', '/wiki/Ibuprofen', '/wiki/European_Medicines_Agency']","['Antihistamines', 'European_Medicines_Agency']"
Cow dung and urine,Cow dung and urine,Treatment,"['/wiki/Chakrapani_(politician)', '/wiki/Member_of_the_Legislative_Assembly_(India)', '/wiki/Suman_Haripriya', '/wiki/Manipur', '/wiki/National_Security_Act_(India)', '/wiki/Indian_Penal_Code', '/wiki/Soumya_Swaminathan_(scientist)']","['Member_of_the_Legislative_Assembly_(India)', 'Indian_Penal_Code', 'Soumya_Swaminathan_(scientist)']"
2-Deoxy-D-glucose,2-Deoxy-D-glucose,Treatment,"['/wiki/2-Deoxy-D-glucose', '/wiki/Drugs_Controller_General_of_India', '/wiki/World_Health_Organization', '/wiki/DRDO', '/wiki/Dr._Reddy%27s_Laboratories', '/wiki/The_Wire_(India)', '/wiki/The_Hindu', '/wiki/Preprint']","['Drugs_Controller_General_of_India', 'DRDO', 'The_Wire_(India)', 'The_Hindu', 'Preprint']"
Traditional Chinese Medicine (TCM) prescriptions,Traditional Chinese Medicine (TCM) prescriptions,Treatment,"['/wiki/National_Health_Commission', '/wiki/Traditional_Chinese_medicine', '/wiki/China_Central_Television', '/wiki/State_media', '/wiki/People%27s_Daily', '/wiki/The_Daily_Telegraph']","['National_Health_Commission', 'Traditional_Chinese_medicine', 'China_Central_Television', 'The_Daily_Telegraph']"
Chloroquine and hydroxychloroquine,Chloroquine and hydroxychloroquine,Treatment,"['/wiki/COVID-19_drug_repurposing_research#Chloroquine_and_hydroxychloroquine', '/wiki/Hydroxychloroquine#COVID-19', '/wiki/Chloroquine#COVID-19', '/wiki/Chloroquine']",['']
Ivermectin,Ivermectin,Treatment,"['/wiki/Ivermectin_during_the_COVID-19_pandemic', '/wiki/Ivermectin', '/wiki/Antiparasitic', '/wiki/World_Health_Organization', '/wiki/European_Medicines_Agency', '/wiki/Food_and_Drug_Administration', '/wiki/Infectious_Diseases_Society_of_America', '/wiki/COVID-19', '/wiki/COVID-19_pandemic', '/wiki/Scientific_misconduct', '/wiki/Cause_c%C3%A9l%C3%A8bre', '/wiki/Anti-vaccine_activism', '/wiki/Conspiracy_theory']","['European_Medicines_Agency', 'Food_and_Drug_Administration', 'Infectious_Diseases_Society_of_America', 'COVID-19', 'Conspiracy_theory']"
Dangerous treatments,Dangerous treatments,Treatment,"['/wiki/QAnon', '/wiki/Miracle_Mineral_Supplement', '/wiki/Chlorine_dioxide', '/wiki/Datura', '/wiki/TikTok', '/wiki/Anticholinergic']","['Chlorine_dioxide', 'Datura', 'Anticholinergic']"
Silver,Silver,Treatment,"['/wiki/Televangelist', '/wiki/Jim_Bakker', '/wiki/Colloidal_silver', '/wiki/Naturopath', '/wiki/Alex_Jones']","['Televangelist', 'Colloidal_silver', 'Naturopath']"
Mustard oil,Mustard oil,Treatment,"['/wiki/Ramdev', '/wiki/Gastric_acid']",['Gastric_acid']
Untested treatments,Untested treatments,Treatment,"['/wiki/Donald_Trump', '/wiki/Disinfectant', '/wiki/Ultraviolet_light', '/wiki/Janata_curfew', '/wiki/WhatsApp', '/wiki/Federal_Bureau_of_Investigation', '/wiki/Wire_fraud']",['Ultraviolet_light']
Spiritual healing,Spiritual healing,Treatment,['/wiki/Kenneth_Copeland'],['']
